behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
grooming,1,234,243,7.8,8.1,0.3
rearing,1,351,361,11.7,12.03,0.33
rearing,2,381,406,12.7,13.53,0.83
rearing,3,434,460,14.47,15.33,0.87
grooming,2,703,713,23.43,23.77,0.33
rearing,4,780,852,26.0,28.4,2.4
grooming,3,881,899,29.37,29.97,0.6
rearing,5,920,988,30.67,32.93,2.27
rearing,6,1213,1231,40.43,41.03,0.6
grooming,4,1259,1280,41.97,42.67,0.7
rearing,7,1283,1310,42.77,43.67,0.9
rearing,8,1571,1787,52.37,59.57,7.2
grooming,5,1931,1958,64.37,65.27,0.9
grooming,6,2240,2298,74.67,76.6,1.93
grooming,7,2335,2352,77.83,78.4,0.57
grooming,8,2441,2473,81.37,82.43,1.07
grooming,9,2589,2611,86.3,87.03,0.73
grooming,10,2683,2743,89.43,91.43,2.0
grooming,11,3031,3053,101.03,101.77,0.73
grooming,12,3147,3185,104.9,106.17,1.27
rearing,9,3205,3231,106.83,107.7,0.87
rearing,10,3263,3302,108.77,110.07,1.3
rearing,11,3359,3370,111.97,112.33,0.37
rearing,12,3554,3619,118.47,120.63,2.17
grooming,13,3709,3759,123.63,125.3,1.67
grooming,14,4214,4240,140.47,141.33,0.87
rearing,13,4325,4368,144.17,145.6,1.43
grooming,15,4421,4443,147.37,148.1,0.73
grooming,16,4462,4508,148.73,150.27,1.53
rearing,14,4510,4634,150.33,154.47,4.13
grooming,17,4697,4724,156.57,157.47,0.9
grooming,18,4749,4955,158.3,165.17,6.87
grooming,19,4990,5014,166.33,167.13,0.8
rearing,15,5055,5103,168.5,170.1,1.6
