frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,520.34,311.57,-2.041,-34.777,34.837
1,0.033,518.45,308.73,17.891,-13.065,22.153
2,0.067,516.96,308.59,36.421,7.217,37.129
3,0.1,518.87,310.39,53.552,26.068,59.559
4,0.133,520.53,312.16,69.282,43.49,81.8
5,0.167,524.25,315.15,83.611,59.481,102.61
6,0.2,527.89,317.31,96.541,74.042,121.665
7,0.233,532.0,320.11,108.069,87.174,138.846
8,0.267,534.44,321.89,118.198,98.875,154.1
9,0.3,538.63,324.04,126.926,109.146,167.401
10,0.333,541.97,326.52,134.254,117.987,178.731
11,0.367,547.57,329.04,140.181,125.398,188.083
12,0.4,552.33,332.89,144.708,131.379,195.45
13,0.433,559.36,338.8,147.834,135.929,200.828
14,0.467,561.98,343.3,149.56,139.05,204.214
15,0.5,568.16,350.94,149.886,140.741,205.606
16,0.533,572.43,357.09,144.51,137.877,199.733
17,0.567,577.39,362.94,138.123,134.077,192.496
18,0.6,581.44,366.61,132.132,129.996,185.358
19,0.633,582.93,367.17,125.462,124.52,176.765
20,0.667,596.37,377.65,118.55,118.252,167.444
21,0.7,616.8,397.7,110.878,110.375,156.45
22,0.733,594.91,377.45,102.042,101.338,143.812
23,0.767,597.63,380.02,94.489,93.525,132.948
24,0.8,602.28,384.25,88.216,87.569,124.3
25,0.833,604.24,386.7,82.387,83.645,117.406
26,0.867,607.47,389.27,77.274,81.076,112.002
27,0.9,610.58,392.71,72.642,81.21,108.958
28,0.933,613.76,395.2,69.034,83.024,107.975
29,0.967,616.64,398.32,65.598,85.602,107.846
30,1.0,619.8,403.95,63.863,89.391,109.86
31,1.033,621.09,404.44,62.197,91.899,110.968
32,1.067,623.78,408.6,61.087,93.015,111.281
33,1.1,625.21,410.68,59.07,91.342,108.778
34,1.133,626.89,414.12,58.79,89.822,107.351
35,1.167,629.01,417.23,60.225,89.003,107.465
36,1.2,631.19,421.88,57.28,84.051,101.713
37,1.233,635.45,428.09,43.539,68.606,81.255
