frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,693.33,361.15,50.322,71.941,87.794
1,0.033,693.63,359.82,44.315,65.934,79.443
2,0.067,693.49,359.47,38.611,60.176,71.498
3,0.1,693.32,360.88,33.208,54.668,63.964
4,0.133,692.97,363.56,28.107,49.409,56.844
5,0.167,692.56,364.41,23.308,44.399,50.145
6,0.2,692.92,365.69,18.81,39.638,43.874
7,0.233,693.26,366.76,14.613,35.127,38.045
8,0.267,694.44,368.49,10.719,30.864,32.673
9,0.3,696.78,370.7,7.125,26.852,27.781
10,0.333,698.69,372.69,3.834,23.088,23.404
11,0.367,700.42,374.38,0.844,19.574,19.592
12,0.4,701.82,375.78,-1.844,16.309,16.413
13,0.433,702.4,376.57,-4.231,13.293,13.95
14,0.467,703.57,376.96,-6.316,10.527,12.276
15,0.5,702.24,376.31,-8.099,8.01,11.391
16,0.533,700.23,375.76,-11.871,2.664,12.166
17,0.567,698.1,375.12,-15.255,-1.256,15.307
18,0.6,695.62,374.2,-17.782,-3.532,18.129
19,0.633,693.34,373.45,-19.406,-4.838,20.0
20,0.667,691.94,373.11,-20.562,-6.138,21.458
21,0.7,691.82,373.14,-20.829,-6.751,21.896
22,0.733,692.78,373.4,-19.523,-6.406,20.547
23,0.767,693.11,373.64,-16.939,-5.045,17.674
24,0.8,693.56,373.94,-13.33,-3.009,13.665
25,0.833,693.9,374.17,-9.383,-0.751,9.413
26,0.867,694.09,374.29,-4.611,1.662,4.902
27,0.9,694.11,374.14,0.473,3.792,3.821
28,0.933,694.05,374.5,4.915,5.287,7.218
29,0.967,694.04,374.81,8.827,6.22,10.798
30,1.0,693.95,375.04,11.564,7.213,13.629
31,1.033,693.91,375.17,12.898,6.827,14.594
32,1.067,693.7,375.15,12.941,5.936,14.238
33,1.1,692.99,374.79,11.975,4.871,12.927
34,1.133,692.35,374.52,10.9,3.873,11.568
35,1.167,693.5,374.83,10.336,3.17,10.811
36,1.2,695.13,375.65,9.497,2.438,9.805
37,1.233,695.33,375.79,8.447,1.696,8.616
38,1.267,696.62,376.08,6.76,0.9,6.82
39,1.3,698.03,376.33,4.861,0.051,4.862
40,1.333,699.44,376.52,2.851,-0.856,2.977
