behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,506,516,16.87,17.2,0.33
rearing,2,605,638,20.17,21.27,1.1
rearing,3,693,703,23.1,23.43,0.33
grooming,1,1138,1193,37.93,39.77,1.83
grooming,2,1246,1258,41.53,41.93,0.4
grooming,3,1683,1758,56.1,58.6,2.5
grooming,4,1841,1854,61.37,61.8,0.43
grooming,5,1870,1890,62.33,63.0,0.67
grooming,6,2786,2871,92.87,95.7,2.83
rearing,4,2908,2956,96.93,98.53,1.6
grooming,7,3018,3035,100.6,101.17,0.57
rearing,5,3074,3146,102.47,104.87,2.4
grooming,8,3298,3316,109.93,110.53,0.6
grooming,9,3530,3565,117.67,118.83,1.17
grooming,10,3596,3611,119.87,120.37,0.5
rearing,6,3681,3753,122.7,125.1,2.4
grooming,11,3882,3916,129.4,130.53,1.13
rearing,7,4169,4223,138.97,140.77,1.8
rearing,8,4652,4688,155.07,156.27,1.2
rearing,9,4938,4983,164.6,166.1,1.5
