frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,565.02,262.25,3.649,-21.528,21.835
1,0.033,565.7,262.75,7.709,-17.36,18.995
2,0.067,566.14,263.02,11.613,-13.419,17.746
3,0.1,566.82,264.06,15.363,-9.703,18.17
4,0.133,566.73,262.38,18.957,-6.212,19.949
5,0.167,566.89,262.38,22.396,-2.948,22.59
6,0.2,568.04,263.49,25.68,0.092,25.681
7,0.233,567.33,262.85,28.809,2.906,28.955
8,0.267,570.43,264.0,31.783,5.494,32.254
9,0.3,568.62,261.35,34.601,7.856,35.482
10,0.333,570.48,262.04,37.265,9.993,38.582
11,0.367,573.42,261.98,39.773,11.905,41.516
12,0.4,574.5,261.23,42.126,13.591,44.264
13,0.433,576.61,262.35,44.324,15.051,46.81
14,0.467,578.1,264.32,46.367,16.286,49.144
15,0.5,580.68,266.05,48.254,17.295,51.26
16,0.533,581.75,265.65,47.615,19.533,51.466
17,0.567,583.67,265.29,48.139,21.219,52.608
18,0.6,587.69,266.63,48.173,22.118,53.008
19,0.633,588.07,266.68,48.276,20.425,52.419
20,0.667,589.58,267.85,49.616,17.217,52.518
21,0.7,591.44,270.25,51.791,16.369,54.316
22,0.733,592.57,271.73,54.705,16.601,57.169
23,0.767,592.62,271.54,58.606,17.923,61.285
24,0.8,592.75,270.46,61.424,18.622,64.185
25,0.833,594.0,269.25,65.848,19.389,68.643
26,0.867,596.96,269.94,69.04,19.21,71.663
27,0.9,600.98,272.86,72.592,18.605,74.938
28,0.933,603.84,273.17,77.805,16.963,79.633
29,0.967,606.51,272.81,84.916,14.399,86.128
30,1.0,610.24,271.68,93.308,10.622,93.91
31,1.033,615.98,271.76,101.804,4.915,101.922
32,1.067,617.16,271.47,110.142,-0.458,110.143
33,1.1,622.03,271.58,117.772,-6.132,117.932
34,1.133,626.13,275.22,122.434,-11.817,123.003
35,1.167,628.63,281.64,125.659,-16.12,126.689
36,1.2,631.82,279.02,127.4,-19.609,128.9
37,1.233,633.95,275.78,126.768,-23.191,128.872
38,1.267,637.6,272.28,123.953,-26.615,126.779
39,1.3,642.11,268.96,119.247,-29.785,122.911
40,1.333,646.59,267.72,113.484,-32.05,117.923
41,1.367,655.53,265.79,106.835,-32.963,111.805
42,1.4,660.88,263.24,98.623,-32.958,103.985
43,1.433,664.89,263.49,88.836,-33.257,94.857
44,1.467,666.14,262.67,78.419,-32.24,84.787
45,1.5,667.41,261.62,68.034,-30.417,74.524
46,1.533,668.19,262.49,57.417,-27.564,63.69
47,1.567,669.51,261.33,45.679,-24.34,51.759
48,1.6,669.96,262.76,34.343,-19.964,39.724
49,1.633,671.38,263.0,22.941,-15.284,27.566
50,1.667,672.16,261.87,12.427,-12.585,17.687
51,1.7,671.17,260.77,3.052,-14.558,14.874
52,1.733,670.65,259.68,-5.48,-17.277,18.125
53,1.767,669.94,257.96,-10.245,-20.064,22.529
54,1.8,670.25,257.41,-13.809,-22.448,26.355
55,1.833,670.07,257.1,-15.711,-23.798,28.516
56,1.867,669.7,257.15,-15.683,-23.697,28.416
57,1.9,670.09,256.98,-16.571,-22.199,27.702
58,1.933,669.97,256.6,-17.525,-19.175,25.977
59,1.967,669.46,254.23,-18.553,-15.759,24.342
60,2.0,668.46,253.02,-19.033,-10.658,21.814
61,2.033,667.51,252.39,-18.728,-4.488,19.258
62,2.067,666.19,252.44,-16.909,1.025,16.94
63,2.1,667.13,251.32,-15.063,6.596,16.444
64,2.133,666.71,251.71,-10.674,11.611,15.772
65,2.167,664.94,252.89,-5.055,15.816,16.605
66,2.2,664.78,254.68,1.105,20.084,20.114
67,2.233,666.12,255.98,9.026,24.781,26.373
68,2.267,663.22,257.44,17.467,29.808,34.549
69,2.3,665.17,259.6,26.095,35.106,43.742
70,2.333,666.48,261.98,35.565,42.22,55.204
71,2.367,667.71,262.03,42.904,48.886,65.043
72,2.4,669.44,262.8,49.721,55.932,74.836
73,2.433,671.13,264.75,57.401,63.938,85.924
74,2.467,673.08,266.89,64.396,71.449,96.186
75,2.5,676.42,266.98,71.578,78.802,106.457
76,2.533,679.89,268.35,79.142,85.759,116.697
77,2.567,682.59,271.49,86.8,92.223,126.646
78,2.6,688.45,275.76,94.204,97.716,135.731
79,2.633,689.85,278.96,100.238,103.345,143.972
80,2.667,691.76,283.54,104.669,109.022,151.134
81,2.7,694.64,288.02,108.05,114.049,157.105
82,2.733,695.9,292.08,108.893,116.856,159.728
83,2.767,698.88,296.63,106.383,117.77,158.705
84,2.8,702.92,302.81,103.316,116.364,155.611
85,2.833,703.93,304.48,98.193,112.567,149.376
86,2.867,711.86,310.1,90.23,104.495,138.06
87,2.9,717.91,313.19,80.531,93.96,123.749
88,2.933,719.67,313.49,69.687,81.742,107.415
89,2.967,724.06,315.28,58.213,67.953,89.479
90,3.0,726.22,318.0,45.116,51.576,68.524
91,3.033,727.13,320.36,32.771,36.58,49.113
92,3.067,727.19,322.27,20.737,22.456,30.566
93,3.1,727.18,324.23,9.943,8.974,13.393
94,3.133,725.61,324.88,-1.508,-3.907,4.188
95,3.167,724.03,323.51,-11.539,-15.051,18.965
96,3.2,721.84,321.26,-19.923,-24.758,31.778
97,3.233,721.08,320.37,-25.784,-33.362,42.164
98,3.267,720.49,318.33,-27.663,-39.94,48.584
99,3.3,719.12,316.23,-29.482,-49.467,57.586
100,3.333,716.85,312.59,-27.662,-54.551,61.163
101,3.367,717.44,312.26,-20.414,-52.984,56.78
102,3.4,717.28,311.55,-14.123,-49.932,51.891
103,3.433,716.6,309.96,-9.325,-44.479,45.446
104,3.467,716.06,307.95,-4.997,-36.618,36.957
105,3.5,719.67,309.54,-1.522,-25.017,25.064
106,3.533,718.53,306.89,0.911,-10.975,11.013
107,3.567,718.5,305.94,1.955,4.376,4.793
108,3.6,717.82,305.61,0.66,19.919,19.93
109,3.633,717.86,305.61,-2.873,34.419,34.539
110,3.667,718.34,305.58,-7.64,47.381,47.993
111,3.7,719.32,305.93,-12.888,59.655,61.031
112,3.733,718.13,308.18,-17.463,70.431,72.564
113,3.767,715.35,310.14,-21.484,78.79,81.666
114,3.8,720.64,326.13,-24.71,86.764,90.215
115,3.833,717.84,327.02,-26.308,93.321,96.959
116,3.867,712.57,325.5,-26.216,99.491,102.887
117,3.9,711.71,329.35,-26.232,102.379,105.686
118,3.933,711.34,332.65,-25.859,104.203,107.364
119,3.967,712.15,339.11,-23.933,104.722,107.422
120,4.0,709.75,341.29,-19.931,105.227,107.098
121,4.033,707.51,343.23,-16.416,103.381,104.676
122,4.067,705.71,345.52,-11.813,102.26,102.94
123,4.1,706.47,348.4,-6.198,102.171,102.359
124,4.133,707.64,351.67,0.776,104.706,104.709
125,4.167,709.23,355.43,7.455,109.332,109.586
126,4.2,710.58,358.05,12.732,116.497,117.191
127,4.233,711.33,362.95,15.601,125.941,126.903
128,4.267,711.66,368.74,16.639,136.971,137.978
129,4.3,711.4,370.96,17.127,149.161,150.141
130,4.333,710.05,374.94,12.812,154.425,154.955
131,4.367,709.95,378.91,7.553,157.379,157.56
132,4.4,711.62,387.05,3.005,159.652,159.68
133,4.433,713.74,391.6,-2.369,158.992,159.01
134,4.467,714.59,398.17,-8.757,156.923,157.167
135,4.5,714.33,403.77,-16.392,152.845,153.722
136,4.533,713.98,411.6,-22.159,147.184,148.843
137,4.567,713.74,418.53,-24.749,139.238,141.42
138,4.6,711.78,424.83,-24.985,131.56,133.911
139,4.633,708.14,427.42,-24.125,125.112,127.416
140,4.667,705.78,430.36,-21.9,117.311,119.338
141,4.7,704.25,432.15,-18.903,108.374,110.01
142,4.733,703.43,433.99,-15.564,99.212,100.426
143,4.767,703.47,435.02,-12.181,89.911,90.732
144,4.8,703.48,436.91,-9.067,81.046,81.551
145,4.833,703.86,438.08,-5.316,73.288,73.48
146,4.867,703.31,441.19,-0.516,66.883,66.885
147,4.9,703.6,445.14,4.708,62.83,63.006
148,4.933,704.77,450.42,10.052,57.26,58.135
149,4.967,707.17,453.59,12.913,55.774,57.249
150,5.0,710.01,453.42,14.335,54.25,56.112
151,5.033,710.4,455.28,14.352,52.795,54.711
152,5.067,708.47,460.19,13.645,49.845,51.679
153,5.1,708.43,460.45,12.555,43.589,45.361
154,5.133,709.14,457.23,9.608,38.832,40.003
155,5.167,708.6,458.77,8.691,31.573,32.748
156,5.2,708.01,460.39,8.166,25.559,26.831
157,5.233,707.58,462.75,7.155,19.961,21.205
158,5.267,707.7,463.94,5.573,15.263,16.248
159,5.3,708.76,462.59,3.265,11.942,12.38
160,5.333,708.42,463.87,1.84,7.253,7.483
161,5.367,708.39,464.45,-0.472,5.19,5.212
162,5.4,708.69,463.74,-2.476,4.856,5.451
163,5.433,706.9,467.58,-5.051,6.298,8.073
164,5.467,708.98,462.29,-7.03,6.269,9.419
165,5.5,709.52,462.24,-10.952,6.573,12.773
166,5.533,710.68,462.68,-17.779,7.923,19.464
167,5.567,709.98,463.63,-25.806,9.644,27.549
168,5.6,706.92,469.27,-34.34,9.234,35.56
169,5.633,708.25,463.55,-46.141,10.556,47.333
170,5.667,703.28,468.97,-58.782,12.946,60.19
171,5.7,700.12,466.77,-72.267,16.677,74.167
172,5.733,698.39,466.91,-83.598,20.826,86.153
173,5.767,696.81,466.16,-91.817,25.088,95.183
174,5.8,695.22,465.45,-98.009,29.062,102.227
175,5.833,689.73,471.69,-103.031,33.9,108.465
176,5.867,686.93,472.3,-108.271,38.803,115.015
177,5.9,682.58,473.08,-113.765,42.868,121.573
178,5.933,679.4,471.85,-119.766,46.696,128.547
179,5.967,672.08,474.92,-122.789,46.27,131.218
180,6.0,667.37,475.28,-125.014,46.922,133.529
181,6.033,663.19,477.39,-127.065,46.29,135.234
182,6.067,656.85,479.47,-129.982,44.768,137.475
183,6.1,651.5,483.21,-133.702,42.3,140.234
184,6.133,652.25,482.15,-137.14,36.856,142.006
185,6.167,649.05,487.01,-143.587,35.171,147.832
