frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,643.17,366.13,-70.303,-55.761,89.732
1,0.033,641.7,364.82,-57.337,-41.428,70.738
2,0.067,640.36,363.32,-45.465,-28.076,53.436
3,0.1,639.83,361.84,-34.688,-15.706,38.078
4,0.133,639.18,360.49,-25.004,-4.318,25.375
5,0.167,638.64,359.24,-16.415,6.088,17.508
6,0.2,637.8,359.02,-8.92,15.513,17.895
7,0.233,637.48,359.82,-2.52,23.956,24.088
8,0.267,637.42,361.5,2.787,31.418,31.541
9,0.3,635.87,363.66,6.999,37.898,38.538
10,0.333,634.84,365.49,10.117,43.396,44.559
11,0.367,633.17,367.25,12.141,47.912,49.426
12,0.4,631.77,369.19,13.071,51.447,53.081
13,0.433,629.79,371.45,12.906,54.0,55.52
14,0.467,628.03,373.64,11.647,55.571,56.778
15,0.5,650.07,378.07,9.294,56.16,56.924
16,0.533,648.75,378.84,3.336,52.043,52.149
17,0.567,647.17,379.73,-3.98,46.713,46.882
18,0.6,645.06,380.82,-12.405,40.614,42.467
19,0.633,642.66,382.0,-22.004,34.615,41.016
20,0.667,639.98,383.15,-32.091,29.01,43.26
21,0.7,637.21,384.09,-42.18,24.825,48.943
22,0.733,634.51,384.81,-51.57,22.366,56.211
23,0.767,631.99,385.24,-60.017,21.433,63.729
24,0.8,629.61,385.44,-67.268,22.04,70.786
25,0.833,627.47,385.57,-72.11,23.039,75.7
26,0.867,625.41,385.71,-74.289,24.521,78.231
27,0.9,623.33,385.92,-72.95,26.1,77.479
28,0.933,621.17,386.21,-67.571,27.512,72.957
29,0.967,618.81,386.55,-57.423,28.091,63.925
30,1.0,616.67,388.49,-41.679,27.806,50.102
31,1.033,615.01,390.76,-33.862,25.312,42.277
32,1.067,613.76,392.23,-25.989,21.785,33.912
33,1.1,613.15,394.03,-18.97,18.101,26.22
34,1.133,613.26,395.16,-13.344,14.215,19.497
35,1.167,613.36,396.81,-8.737,10.124,13.373
36,1.2,613.55,397.53,-5.451,5.991,8.1
37,1.233,613.78,397.37,-3.65,2.002,4.163
38,1.267,614.05,396.78,-2.838,-1.79,3.355
39,1.3,614.29,394.68,-2.626,-5.275,5.892
40,1.333,614.37,393.64,-2.742,-8.303,8.744
41,1.367,614.47,392.08,-3.518,-10.521,11.094
42,1.4,614.51,390.96,-4.845,-11.776,12.733
43,1.433,614.31,389.95,-6.01,-12.016,13.435
44,1.467,614.43,389.96,-7.095,-10.935,13.035
45,1.5,613.95,390.25,-7.824,-8.4,11.48
46,1.533,612.62,390.64,-7.872,-5.192,9.43
47,1.567,610.76,392.17,-6.879,-1.727,7.093
48,1.6,609.81,392.41,-4.713,1.987,5.115
49,1.633,609.97,392.78,-2.207,5.8,6.205
50,1.667,609.41,393.25,2.474,8.582,8.932
51,1.7,609.76,393.44,7.966,10.159,12.91
52,1.733,611.16,393.36,13.295,10.829,17.147
53,1.767,612.24,393.31,17.619,10.777,20.653
54,1.8,612.87,393.44,20.211,10.081,22.586
55,1.833,613.05,393.82,19.806,10.229,22.291
56,1.867,614.02,393.95,17.523,9.74,20.048
57,1.9,615.22,394.16,13.878,8.535,16.292
58,1.933,615.25,394.73,11.194,5.883,12.646
59,1.967,615.81,395.06,7.438,3.614,8.27
60,2.0,616.67,395.5,1.436,2.772,3.122
61,2.033,617.44,395.95,-7.743,4.717,9.066
62,2.067,617.57,396.29,-19.917,10.168,22.363
63,2.1,617.2,396.7,-34.415,18.371,39.011
64,2.133,618.21,396.1,-48.343,27.475,55.605
65,2.167,613.6,397.87,-60.496,36.102,70.449
66,2.2,609.65,399.1,-68.831,43.116,81.22
67,2.233,606.01,399.88,-73.142,48.346,87.676
68,2.267,602.91,400.63,-74.138,52.247,90.698
69,2.3,600.61,401.4,-72.395,55.364,91.138
70,2.333,601.4,400.42,-67.906,57.807,89.179
71,2.367,600.79,401.85,-60.96,59.376,85.098
72,2.4,599.26,405.33,-52.444,60.17,79.817
73,2.433,591.36,412.71,-43.316,60.276,74.226
74,2.467,585.96,419.18,-33.757,59.673,68.56
75,2.5,582.01,424.27,-24.156,58.399,63.198
76,2.533,581.4,426.37,-15.713,57.388,59.5
77,2.567,584.02,425.31,-8.205,53.801,54.423
78,2.6,590.34,421.58,-2.293,49.134,49.188
79,2.633,594.01,420.18,1.12,44.981,44.995
80,2.667,596.47,420.19,0.326,43.12,43.122
81,2.7,596.5,422.09,-2.163,42.854,42.909
82,2.733,595.28,424.94,-6.022,44.329,44.736
83,2.767,593.61,427.72,-10.115,47.283,48.352
84,2.8,592.33,429.72,-14.177,51.423,53.342
