frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,608.55,344.08,34.742,-197.187,200.225
1,0.033,609.23,339.67,39.004,-190.543,194.494
2,0.067,609.26,333.42,42.742,-183.77,188.675
3,0.1,609.71,330.52,45.956,-176.87,182.743
4,0.133,609.71,326.8,48.647,-169.842,176.672
5,0.167,610.72,323.05,50.814,-162.686,170.438
6,0.2,611.36,317.65,52.458,-155.403,164.018
7,0.233,610.76,314.31,53.578,-147.992,157.392
8,0.267,609.49,305.47,54.175,-140.453,150.539
9,0.3,613.7,303.5,54.248,-132.787,143.44
10,0.333,619.55,296.58,53.797,-124.992,136.078
11,0.367,624.54,289.82,52.823,-117.07,128.436
12,0.4,629.13,283.3,51.326,-109.021,120.498
13,0.433,633.02,279.24,49.304,-100.843,112.251
14,0.467,636.67,274.71,46.759,-92.538,103.681
15,0.5,636.63,271.24,43.691,-84.105,94.776
16,0.533,635.94,269.19,34.42,-67.636,75.89
17,0.567,636.02,266.35,25.125,-52.864,58.531
18,0.6,634.41,266.51,16.597,-38.816,42.216
19,0.633,634.03,266.81,9.035,-27.52,28.965
20,0.667,633.45,268.13,2.411,-18.757,18.911
21,0.7,633.04,268.03,-3.561,-13.097,13.573
22,0.733,633.17,268.05,-8.18,-9.826,12.785
23,0.767,632.9,268.1,-9.153,-11.19,14.457
24,0.8,633.1,267.85,-6.702,-12.04,13.779
25,0.833,633.13,267.65,-3.05,-15.365,15.664
26,0.867,632.63,268.07,1.023,-19.338,19.365
27,0.9,632.14,268.65,4.327,-22.651,23.061
28,0.933,632.92,266.91,6.77,-24.793,25.701
29,0.967,633.23,265.81,7.552,-26.079,27.15
30,1.0,635.37,260.77,6.361,-25.711,26.486
31,1.033,637.34,257.04,4.397,-23.255,23.667
32,1.067,637.41,256.55,1.858,-19.133,19.223
33,1.1,636.77,255.94,-1.512,-12.535,12.626
34,1.133,635.49,256.16,-4.619,-4.665,6.565
35,1.167,635.23,256.02,-7.544,3.939,8.51
36,1.2,635.48,256.61,-10.158,11.877,15.628
37,1.233,635.52,257.45,-12.686,19.948,23.64
38,1.267,632.6,261.85,-14.908,27.304,31.109
39,1.3,632.16,262.51,-16.566,31.335,35.445
40,1.333,631.9,263.0,-18.321,32.209,37.055
41,1.367,630.37,264.86,-20.067,31.323,37.2
42,1.4,630.55,265.61,-21.018,27.683,34.758
43,1.433,629.83,266.89,-21.293,21.56,30.303
44,1.467,629.92,267.95,-20.596,14.3,25.073
45,1.5,629.26,269.02,-18.582,6.007,19.528
46,1.533,628.73,269.22,-16.501,-1.062,16.535
47,1.567,628.59,269.33,-14.725,-6.206,15.979
48,1.6,628.46,268.85,-12.788,-10.397,16.481
49,1.633,628.16,267.54,-10.726,-13.207,17.014
50,1.667,627.25,265.88,-8.192,-14.559,16.706
51,1.7,626.42,264.61,-5.752,-14.072,15.203
52,1.733,626.3,261.3,-3.792,-11.77,12.366
53,1.767,625.41,257.83,-3.029,-8.097,8.645
54,1.8,624.4,259.39,-1.587,-4.778,5.035
55,1.833,624.61,261.98,-0.691,-0.632,0.936
56,1.867,625.37,262.2,0.39,3.016,3.041
57,1.9,625.79,264.01,2.217,5.783,6.193
58,1.933,627.5,265.05,3.806,7.686,8.577
59,1.967,627.95,265.67,5.647,8.294,10.034
60,2.0,628.03,265.73,7.441,6.918,10.161
61,2.033,628.28,266.26,9.182,4.219,10.105
62,2.067,628.19,266.29,11.053,0.466,11.063
63,2.1,627.93,266.45,13.523,-5.599,14.637
64,2.133,628.03,266.52,15.149,-12.148,19.418
65,2.167,628.03,266.01,16.414,-19.018,25.121
66,2.2,628.13,265.26,17.592,-25.935,31.339
67,2.233,628.02,263.79,18.436,-32.023,36.95
68,2.267,629.28,262.77,18.557,-35.528,40.083
69,2.3,630.21,260.38,18.325,-34.847,39.372
70,2.333,632.24,257.26,18.569,-32.731,37.632
71,2.367,632.7,256.67,18.738,-29.827,35.224
72,2.4,633.28,255.2,18.68,-25.505,31.614
73,2.433,634.32,254.29,18.476,-20.782,27.808
74,2.467,635.16,253.49,17.293,-15.748,23.389
75,2.5,635.6,254.35,15.392,-10.786,18.795
76,2.533,636.63,253.69,13.229,-5.204,14.216
77,2.567,637.14,252.91,10.781,-0.144,10.782
78,2.6,635.53,255.37,8.008,4.057,8.977
79,2.633,636.3,255.19,4.765,7.998,9.31
80,2.667,635.99,256.0,1.373,11.931,12.01
81,2.7,635.42,257.88,-1.74,15.74,15.836
82,2.733,635.37,258.78,-4.064,19.021,19.45
83,2.767,635.62,259.42,-4.868,21.781,22.318
84,2.8,636.33,258.52,-5.542,24.88,25.49
85,2.833,636.08,259.01,-6.303,28.991,29.668
86,2.867,636.08,259.07,-6.934,33.076,33.795
87,2.9,635.74,259.57,-6.733,35.72,36.35
88,2.933,635.39,260.22,-5.046,36.717,37.062
89,2.967,635.07,261.12,-3.305,37.452,37.598
90,3.0,635.09,262.97,-1.527,38.155,38.186
91,3.033,634.5,263.59,0.136,38.273,38.273
92,3.067,633.69,265.85,1.814,38.154,38.197
93,3.1,633.38,269.56,3.273,38.296,38.436
94,3.133,634.23,272.0,5.188,37.254,37.614
95,3.167,634.96,273.28,6.536,35.728,36.321
96,3.2,635.67,274.4,7.276,33.682,34.459
97,3.233,635.79,275.88,7.812,30.381,31.369
98,3.267,634.83,277.74,9.238,26.401,27.971
99,3.3,635.58,276.47,10.047,21.564,23.789
100,3.333,637.7,273.59,9.775,17.328,19.895
101,3.367,638.43,273.29,9.188,13.16,16.05
102,3.4,638.98,273.89,8.118,9.568,12.547
103,3.433,637.49,276.81,7.246,6.887,9.997
104,3.467,637.86,277.33,6.172,5.217,8.082
105,3.5,638.08,277.62,4.55,4.451,6.365
106,3.533,638.82,277.27,2.909,4.728,5.551
107,3.567,638.14,277.64,1.492,5.956,6.14
108,3.6,637.52,277.73,0.428,7.329,7.342
109,3.633,637.53,277.42,0.274,8.099,8.104
110,3.667,637.41,278.09,-0.017,8.167,8.167
111,3.7,638.45,278.25,-0.728,8.522,8.553
112,3.733,639.5,278.74,-0.711,8.445,8.475
113,3.767,637.5,278.76,0.447,7.159,7.173
114,3.8,637.85,279.6,2.893,4.725,5.54
115,3.833,638.74,279.55,5.818,2.557,6.355
116,3.867,639.03,279.92,8.56,1.476,8.686
117,3.9,639.53,280.31,12.214,0.841,12.243
118,3.933,638.82,280.11,15.364,0.323,15.367
119,3.967,638.91,279.9,18.243,-0.368,18.247
120,4.0,640.17,280.07,20.493,-1.548,20.552
121,4.033,640.35,278.89,23.391,-1.754,23.457
122,4.067,640.9,279.11,26.5,-0.939,26.516
123,4.1,642.2,279.73,28.65,0.722,28.659
124,4.133,642.51,279.84,30.064,2.689,30.184
125,4.167,644.19,280.51,30.954,5.416,31.424
126,4.2,647.22,279.51,30.692,9.336,32.081
127,4.233,648.12,279.57,29.586,13.531,32.533
128,4.267,648.35,280.72,27.563,18.326,33.099
129,4.3,649.49,280.81,25.558,24.155,35.167
130,4.333,650.89,280.84,22.116,31.304,38.329
131,4.367,651.63,282.14,17.115,39.941,43.453
132,4.4,649.87,283.91,10.299,48.62,49.699
133,4.433,650.0,286.58,2.781,57.071,57.139
134,4.467,651.96,287.39,-4.078,63.522,63.653
135,4.5,653.54,291.12,-10.498,68.87,69.665
136,4.533,651.91,292.41,-17.522,72.321,74.413
137,4.567,648.93,294.34,-23.698,74.065,77.764
138,4.6,648.93,296.0,-28.022,73.83,78.969
139,4.633,648.75,299.33,-32.022,70.716,77.628
140,4.667,647.42,302.86,-33.147,65.189,73.133
141,4.7,647.62,304.53,-32.425,57.103,65.667
142,4.733,645.73,308.59,-31.209,48.176,57.402
143,4.767,642.74,311.88,-28.305,38.273,47.602
144,4.8,640.47,314.47,-23.668,26.468,35.507
145,4.833,639.56,314.46,-18.002,15.279,23.612
146,4.867,638.78,312.85,-12.501,5.439,13.633
147,4.9,640.1,311.88,-6.379,-3.964,7.51
148,4.933,640.04,309.42,-0.741,-12.832,12.854
149,4.967,639.16,310.11,4.937,-20.364,20.954
150,5.0,638.93,308.25,8.321,-25.0,26.349
151,5.033,640.91,306.64,9.53,-27.417,29.026
152,5.067,642.32,305.71,9.138,-26.932,28.44
153,5.1,642.12,303.96,8.134,-25.217,26.497
154,5.133,645.33,303.65,6.181,-20.539,21.449
155,5.167,644.89,303.39,3.832,-14.533,15.03
156,5.2,644.94,303.65,0.312,-7.503,7.51
157,5.233,645.66,303.04,-4.613,1.558,4.868
158,5.267,644.92,303.01,-9.022,10.54,13.874
159,5.3,643.9,305.56,-12.553,19.246,22.977
160,5.333,642.35,305.52,-15.318,25.968,30.149
161,5.367,641.7,305.29,-16.153,30.366,34.395
162,5.4,638.33,307.29,-13.625,36.07,38.558
163,5.433,639.4,310.56,-8.665,40.909,41.816
164,5.467,637.7,312.56,-1.879,46.453,46.491
165,5.5,638.19,314.03,6.769,51.782,52.223
166,5.533,637.68,313.97,16.559,57.308,59.652
167,5.567,638.97,314.34,24.952,63.896,68.595
168,5.6,641.12,318.42,32.468,70.871,77.954
169,5.633,642.08,319.89,39.166,78.419,87.656
170,5.667,641.69,323.01,43.054,85.372,95.614
171,5.7,644.45,326.03,45.373,91.763,102.368
172,5.733,647.11,327.97,42.193,82.866,92.99
