behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,26,63,0.87,2.1,1.23
rearing,2,608,730,20.27,24.33,4.07
rearing,3,961,971,32.03,32.37,0.33
grooming,1,1213,1231,40.43,41.03,0.6
grooming,2,1299,1328,43.3,44.27,0.97
rearing,4,1389,1483,46.3,49.43,3.13
rearing,5,1502,1640,50.07,54.67,4.6
rearing,6,1689,1698,56.3,56.6,0.3
rearing,7,2057,2112,68.57,70.4,1.83
rearing,8,2135,2272,71.17,75.73,4.57
rearing,9,2358,2371,78.6,79.03,0.43
rearing,10,2405,2426,80.17,80.87,0.7
rearing,11,2667,2699,88.9,89.97,1.07
rearing,12,2717,2741,90.57,91.37,0.8
rearing,13,2858,2935,95.27,97.83,2.57
rearing,14,2992,3003,99.73,100.1,0.37
rearing,15,3023,3032,100.77,101.07,0.3
rearing,16,3151,3166,105.03,105.53,0.5
grooming,3,3250,3264,108.33,108.8,0.47
grooming,4,3519,3529,117.3,117.63,0.33
grooming,5,3681,3698,122.7,123.27,0.57
rearing,17,4134,4155,137.8,138.5,0.7
rearing,18,4173,4292,139.1,143.07,3.97
rearing,19,4366,4437,145.53,147.9,2.37
rearing,20,4644,4665,154.8,155.5,0.7
grooming,6,4721,4746,157.37,158.2,0.83
rearing,21,4766,4912,158.87,163.73,4.87
rearing,22,5106,5221,170.2,174.03,3.83
rearing,23,5247,5274,174.9,175.8,0.9
