frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,628.9,340.21,36.879,-149.815,154.287
1,0.033,633.32,332.49,54.2,-144.715,154.532
2,0.067,635.86,327.57,69.78,-139.481,155.962
3,0.1,637.73,324.5,83.619,-134.111,158.044
4,0.133,641.59,317.43,95.717,-128.607,160.317
5,0.167,643.13,314.13,106.074,-122.967,162.396
6,0.2,647.23,309.68,114.691,-117.192,163.975
7,0.233,650.51,307.05,121.566,-111.281,164.808
8,0.267,656.56,301.77,126.7,-105.236,164.705
9,0.3,657.43,301.41,130.094,-99.056,163.513
10,0.333,659.67,299.78,131.746,-92.74,161.114
11,0.367,663.69,296.85,131.658,-86.289,157.415
12,0.4,667.77,293.76,129.829,-79.703,152.342
13,0.433,671.73,291.15,126.258,-72.982,145.834
14,0.467,675.41,288.6,120.947,-66.126,137.843
15,0.5,680.33,284.32,113.895,-59.134,128.331
16,0.533,688.8,281.42,100.613,-51.979,113.247
17,0.567,701.94,277.52,84.353,-43.345,94.838
18,0.6,707.21,278.92,67.011,-35.13,75.661
19,0.633,710.08,276.6,49.42,-27.989,56.795
20,0.667,707.01,275.07,30.981,-19.554,36.636
21,0.7,703.5,275.83,13.91,-11.914,18.315
22,0.733,699.87,276.17,-2.482,-4.056,4.755
23,0.767,696.29,277.5,-17.617,3.321,17.927
24,0.8,693.19,277.91,-31.802,11.188,33.712
25,0.833,690.73,279.74,-41.939,16.975,45.244
26,0.867,689.21,280.37,-48.888,21.418,53.374
27,0.9,689.17,280.08,-52.533,24.398,57.922
28,0.933,689.86,280.05,-52.893,26.313,59.077
29,0.967,689.1,281.68,-50.087,26.772,56.793
30,1.0,688.37,282.32,-42.854,25.191,49.71
31,1.033,687.19,282.43,-32.438,23.115,39.831
32,1.067,687.29,282.09,-21.544,20.268,29.58
33,1.1,686.16,283.62,-14.027,17.887,22.731
34,1.133,685.36,284.6,-9.52,13.939,16.879
35,1.167,685.31,284.78,-9.654,11.506,15.019
36,1.2,684.5,286.14,-10.76,9.505,14.357
37,1.233,684.1,286.61,-12.048,7.496,14.19
38,1.267,684.66,286.37,-12.969,5.251,13.992
39,1.3,683.64,286.75,-13.396,2.608,13.648
40,1.333,681.67,287.51,-12.89,-0.064,12.891
41,1.367,681.87,286.65,-12.88,-2.257,13.076
42,1.4,681.3,286.53,-13.626,-3.631,14.102
43,1.433,681.25,285.44,-13.872,-4.494,14.582
44,1.467,682.24,284.38,-14.478,-4.515,15.166
45,1.5,681.06,284.64,-16.075,-4.456,16.682
46,1.533,680.56,284.39,-18.3,-3.134,18.566
47,1.567,680.05,284.81,-20.121,-1.503,20.177
48,1.6,677.47,285.49,-22.628,1.078,22.653
49,1.633,676.27,286.2,-23.222,3.021,23.417
50,1.667,678.42,284.16,-25.074,5.749,25.724
51,1.7,678.26,284.53,-25.648,7.794,26.807
52,1.733,677.17,284.31,-27.386,10.303,29.26
53,1.767,675.22,285.53,-28.411,12.326,30.97
54,1.8,673.31,286.75,-28.786,13.736,31.895
55,1.833,670.23,288.84,-29.687,14.895,33.215
56,1.867,670.35,288.51,-29.832,15.467,33.603
57,1.9,671.78,287.87,-27.839,15.816,32.018
58,1.933,669.51,288.94,-25.608,15.976,30.183
59,1.967,667.27,289.71,-22.9,15.382,27.587
60,2.0,667.65,290.48,-20.198,14.579,24.91
61,2.033,668.06,288.95,-16.643,12.641,20.9
62,2.067,667.32,289.56,-12.643,8.278,15.112
63,2.1,667.99,289.55,-8.968,2.191,9.231
64,2.133,663.94,291.15,-5.327,-5.506,7.661
65,2.167,666.6,289.6,-1.917,-14.113,14.243
66,2.2,663.43,291.71,-0.784,-21.073,21.088
67,2.233,666.49,289.67,-0.827,-27.527,27.54
68,2.267,666.19,289.31,-1.423,-33.749,33.779
69,2.3,664.39,289.78,-1.323,-39.519,39.541
70,2.333,666.74,288.54,-1.812,-43.96,43.997
71,2.367,669.0,286.45,-2.794,-47.696,47.778
72,2.4,666.09,284.27,-2.834,-50.978,51.056
73,2.433,667.25,280.33,-4.554,-52.661,52.858
74,2.467,667.5,277.86,-6.431,-52.957,53.346
75,2.5,666.87,274.14,-7.651,-51.565,52.129
76,2.533,665.6,270.7,-8.393,-49.116,49.828
