behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,138,294,4.6,9.8,5.2
rearing,2,519,567,17.3,18.9,1.6
rearing,3,681,700,22.7,23.33,0.63
rearing,4,768,783,25.6,26.1,0.5
rearing,5,842,901,28.07,30.03,1.97
rearing,6,935,1129,31.17,37.63,6.47
rearing,7,1279,1310,42.63,43.67,1.03
rearing,8,1406,1422,46.87,47.4,0.53
rearing,9,1452,1477,48.4,49.23,0.83
rearing,10,1537,1590,51.23,53.0,1.77
rearing,11,1625,1685,54.17,56.17,2.0
rearing,12,1854,1913,61.8,63.77,1.97
grooming,1,1936,1946,64.53,64.87,0.33
grooming,2,2020,2047,67.33,68.23,0.9
grooming,3,2070,2093,69.0,69.77,0.77
grooming,4,2248,2260,74.93,75.33,0.4
rearing,13,2433,2467,81.1,82.23,1.13
grooming,5,2463,2494,82.1,83.13,1.03
rearing,14,2874,2883,95.8,96.1,0.3
grooming,6,2888,2901,96.27,96.7,0.43
grooming,7,2918,2945,97.27,98.17,0.9
rearing,15,3186,3227,106.2,107.57,1.37
rearing,16,3290,3597,109.67,119.9,10.23
grooming,8,3773,3838,125.77,127.93,2.17
grooming,9,3867,3878,128.9,129.27,0.37
grooming,10,4022,4034,134.07,134.47,0.4
grooming,11,4065,4077,135.5,135.9,0.4
rearing,17,4185,4303,139.5,143.43,3.93
rearing,18,4574,4604,152.47,153.47,1.0
rearing,19,4821,4916,160.7,163.87,3.17
grooming,12,5005,5021,166.83,167.37,0.53
grooming,13,5140,5195,171.33,173.17,1.83
