scorer,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210
bodyparts,nose,nose,nose,head,head,head,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,body_center,body_center,body_center,left_forepaw,left_forepaw,left_forepaw,right_forepaw,right_forepaw,right_forepaw,left_hindpaw,left_hindpaw,left_hindpaw,right_hindpaw,right_hindpaw,right_hindpaw,tail_base,tail_base,tail_base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,535.2359960,348.7802506,0.9490009,549.9012160,357.4404006,0.9542572,549.0802560,367.3465906,0.8432905,558.6338560,354.9480006,0.9579278,591.0509960,375.8199506,1.0000000,554.0944560,384.4860506,0.7409444,568.5641260,359.9408506,0.8471920,673.8252560,355.9075006,0.5605959,658.2601560,323.8239506,0.3350306,682.5284160,331.3859506,0.5216071
1,537.5703020,350.9982896,0.9522124,551.2720214,359.2802925,0.9965741,549.6464458,368.7675332,0.8662604,559.3120362,357.0352996,0.9832964,590.8749471,376.0535507,1.0000000,554.6500105,385.8219392,0.7316021,569.5784459,362.0009677,0.8207370,586.0369148,399.6272081,0.6281377,607.2819713,373.8806558,0.3881140,620.7220376,403.3509138,0.6043309
2,536.3216441,347.7370933,0.9557505,549.6221106,356.7243117,0.9810846,548.1269747,366.9420784,0.8770714,557.8271071,355.1766828,0.9594317,590.4976636,376.6032787,1.0000000,553.7675733,384.6558144,0.7370041,568.7333895,360.5535543,0.8431843,585.5362235,399.9904701,0.7922411,608.6476412,375.3665467,0.5871129,621.5974703,403.6581821,0.8037378
3,538.3315849,348.6704169,0.9717201,551.3600998,358.7118036,0.9635033,548.8920820,368.5838910,0.8323850,558.9047767,357.5348238,0.9526237,589.0483098,377.5683756,1.0000000,552.9876571,385.1804507,0.6903327,568.9027614,361.2416141,0.7868997,583.9005880,401.6120151,0.6978036,604.6307853,373.2198619,0.5712870,620.9281595,404.1559152,0.7873058
4,535.9410866,349.1741698,0.9576551,548.8162600,359.0710513,0.9633897,546.4521714,368.7562726,0.8475253,556.5455814,357.9567116,0.9489107,586.7605022,378.7770336,1.0000000,550.3938519,386.0427143,0.6780851,568.7041093,361.2024180,0.7922901,584.0103925,400.0047373,0.5702013,603.5255703,372.2249879,0.5155279,618.6436363,406.0646601,0.7630162
5,534.8976672,348.6463923,0.8689516,546.8207324,358.9448960,0.9611073,544.2212440,368.6282909,0.8596230,554.3507796,358.6020459,0.9379503,584.2156605,379.9234603,1.0000000,547.5179894,386.6291002,0.6479411,663.1446356,309.7753437,0.7685646,695.5344815,301.5468946,0.5287535,667.3487713,289.8276748,0.4977611,616.7652274,408.3014510,0.5870485
6,534.5146548,347.3128144,0.8177027,545.2013569,357.7009674,0.9561833,541.6777160,367.3893355,0.9042264,552.4547184,358.3373163,0.9572881,580.8427111,381.2065781,1.0000000,538.5259112,381.5517985,0.6681492,566.6477604,360.6294357,0.7534975,584.7859997,398.9303852,0.5292297,600.2501578,369.0104553,0.4893748,614.7205727,408.7399723,0.5311486
7,533.6548038,348.8127493,0.7601870,543.8821055,359.8476363,0.8876030,540.7630799,368.7179129,0.8269900,550.2866660,359.8088853,0.8965896,577.5340654,382.2986283,1.0000000,526.2713460,373.0076249,0.6147632,556.9485510,365.9759762,0.6805007,577.1360257,404.0948156,0.5326615,594.6589893,373.2722067,0.5355126,611.2425382,410.6034493,0.5757068
