frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,598.21,362.21,6.913,-48.029,48.524
1,0.033,597.38,362.02,-1.308,-40.253,40.274
2,0.067,595.58,361.6,-8.933,-32.909,34.1
3,0.1,592.76,361.15,-15.962,-25.997,30.506
4,0.133,589.76,360.83,-22.394,-19.517,29.705
5,0.167,589.3,360.14,-28.23,-13.468,31.278
6,0.2,588.43,359.86,-33.469,-7.851,34.378
7,0.233,587.79,359.79,-38.113,-2.666,38.206
8,0.267,587.21,359.77,-42.16,2.088,42.212
9,0.3,586.6,359.75,-45.611,6.409,46.059
10,0.333,585.89,359.67,-48.465,10.299,49.548
11,0.367,584.91,359.58,-50.724,13.757,52.556
12,0.4,584.22,359.67,-52.386,16.784,55.009
13,0.433,583.46,359.92,-53.451,19.378,56.856
14,0.467,582.46,360.2,-53.921,21.541,58.064
15,0.5,581.31,360.46,-53.794,23.272,58.612
16,0.533,580.29,360.53,-56.466,26.338,62.306
17,0.567,577.68,361.19,-58.146,28.336,64.683
18,0.6,573.91,362.52,-58.584,29.392,65.544
19,0.633,570.04,364.38,-56.627,29.394,63.801
20,0.667,567.04,366.47,-52.08,28.453,59.345
21,0.7,564.74,368.46,-45.963,26.852,53.231
22,0.733,563.02,370.08,-38.334,24.556,45.525
23,0.767,562.23,370.97,-29.598,21.585,36.633
24,0.8,561.92,371.17,-20.249,18.038,27.118
25,0.833,561.87,371.06,-10.849,14.09,17.782
26,0.867,561.13,371.22,-1.728,9.946,10.095
27,0.9,561.5,371.08,6.576,5.912,8.843
28,0.933,562.99,370.65,13.774,2.073,13.929
29,0.967,564.8,370.19,19.206,-1.332,19.252
30,1.0,566.24,369.81,22.805,-4.241,23.196
31,1.033,567.43,369.56,24.421,-6.416,25.25
32,1.067,568.11,369.51,23.766,-7.476,24.914
33,1.1,569.31,369.32,21.638,-7.517,22.906
34,1.133,569.48,369.44,18.819,-6.713,19.981
35,1.167,569.97,369.35,15.431,-5.256,16.301
36,1.2,570.06,369.28,11.932,-3.706,12.494
37,1.233,569.93,369.22,8.473,-2.409,8.809
38,1.267,569.57,369.19,5.736,-1.869,6.033
39,1.3,569.18,369.19,3.397,-1.874,3.879
40,1.333,569.03,369.17,1.429,-2.115,2.552
41,1.367,568.71,369.19,-0.195,-2.377,2.385
42,1.4,569.03,369.04,-0.697,-2.835,2.919
43,1.433,568.95,369.01,-0.675,-3.201,3.271
44,1.467,569.58,368.71,-0.295,-3.478,3.49
45,1.5,570.02,368.65,0.136,-3.58,3.582
46,1.533,570.35,368.59,0.983,-3.752,3.879
47,1.567,570.49,368.47,2.089,-3.963,4.48
48,1.6,570.15,368.46,3.464,-4.246,5.48
49,1.633,569.67,368.32,4.029,-4.289,5.884
50,1.667,570.24,367.68,4.677,-4.372,6.403
51,1.7,570.47,367.27,4.991,-4.29,6.582
52,1.733,570.94,366.86,4.444,-3.688,5.775
53,1.767,570.39,367.22,2.791,-2.483,3.735
54,1.8,570.19,367.52,0.576,-0.992,1.147
55,1.833,570.07,367.7,-1.663,0.46,1.726
56,1.867,570.24,367.74,-3.705,1.535,4.01
57,1.9,570.13,367.79,-5.338,2.014,5.706
58,1.933,570.96,367.35,-6.151,1.764,6.399
59,1.967,571.35,367.07,-5.458,0.518,5.483
60,2.0,571.81,366.67,-3.804,-1.407,4.056
61,2.033,571.27,366.88,-2.071,-3.587,4.142
62,2.067,570.48,367.18,-0.769,-6.092,6.14
63,2.1,569.4,367.6,1.203,-8.328,8.414
64,2.133,569.54,367.67,3.577,-10.414,11.012
65,2.167,568.35,368.08,5.556,-11.977,13.203
66,2.2,567.13,368.34,6.092,-12.511,13.915
67,2.233,567.21,367.66,5.339,-12.292,13.402
68,2.267,568.6,366.22,3.163,-11.267,11.703
69,2.3,570.02,364.74,0.468,-10.101,10.111
70,2.333,571.22,363.33,-1.77,-9.495,9.659
71,2.367,572.4,362.27,-1.679,-9.224,9.376
72,2.4,574.01,361.45,0.345,-9.774,9.78
73,2.433,574.4,361.17,3.088,-10.46,10.906
74,2.467,573.28,361.77,5.059,-10.503,11.658
75,2.5,571.6,362.69,5.061,-9.58,10.835
76,2.533,571.09,363.07,4.366,-7.373,8.568
77,2.567,571.55,364.06,3.324,-4.609,5.682
78,2.6,569.27,364.19,1.892,-1.582,2.466
79,2.633,567.07,364.57,0.634,1.151,1.314
80,2.667,566.47,364.26,-1.413,3.138,3.441
81,2.7,567.46,363.17,-1.792,4.205,4.571
82,2.733,569.24,362.22,-1.34,4.127,4.339
83,2.767,572.11,360.92,-0.745,3.253,3.338
84,2.8,575.53,359.91,0.828,1.907,2.079
85,2.833,577.76,360.36,2.058,0.443,2.106
86,2.867,575.53,360.7,2.02,-1.003,2.255
87,2.9,572.01,362.85,2.495,-2.179,3.313
88,2.933,569.77,364.33,2.022,-3.011,3.627
89,2.967,568.84,365.05,2.333,-3.621,4.307
90,3.0,571.01,364.94,2.252,-4.461,4.997
91,3.033,570.66,363.84,2.073,-5.701,6.066
92,3.067,570.37,363.0,1.192,-7.099,7.198
93,3.1,570.77,361.89,-0.774,-8.946,8.979
94,3.133,570.94,361.0,-2.815,-10.969,11.324
95,3.167,572.72,360.92,-0.462,-12.823,12.831
96,3.2,570.98,360.44,5.172,-14.314,15.22
97,3.233,571.53,359.99,13.826,-14.928,20.346
98,3.267,573.4,359.4,22.314,-14.876,26.818
99,3.3,572.2,359.03,27.872,-14.015,31.198
100,3.333,573.06,358.45,28.504,-12.204,31.006
101,3.367,576.47,358.11,23.752,-10.029,25.783
102,3.4,575.98,357.52,15.808,-7.395,17.452
103,3.433,577.14,357.08,8.674,-5.067,10.045
104,3.467,574.39,356.9,3.718,-3.122,4.855
105,3.5,574.74,357.15,2.061,-1.458,2.525
106,3.533,575.74,357.54,0.648,-0.19,0.676
107,3.567,577.89,358.07,0.282,1.02,1.058
108,3.6,580.78,358.61,1.014,2.185,2.408
109,3.633,586.26,359.44,2.489,3.485,4.283
110,3.667,583.39,359.13,4.775,4.872,6.822
111,3.7,580.06,358.7,6.913,5.482,8.822
112,3.733,573.07,357.82,10.417,5.318,11.696
113,3.767,569.08,357.39,14.247,4.808,15.037
114,3.8,568.19,357.55,17.344,4.422,17.899
115,3.833,570.28,358.02,20.977,4.58,21.471
116,3.867,575.04,358.86,24.266,5.464,24.873
117,3.9,582.36,359.93,25.549,6.709,26.415
118,3.933,586.13,360.45,26.524,8.797,27.945
119,3.967,587.83,360.78,26.413,11.626,28.858
120,4.0,586.0,360.64,27.365,14.62,31.026
121,4.033,586.4,360.87,28.337,17.398,33.252
122,4.067,586.97,361.25,28.862,20.196,35.226
123,4.1,587.39,361.39,28.171,22.85,36.273
124,4.133,587.7,361.48,25.379,25.035,35.649
125,4.167,587.77,361.57,17.994,26.577,32.096
126,4.2,587.45,362.86,9.428,28.131,29.669
127,4.233,587.1,365.12,0.463,29.573,29.576
128,4.267,586.75,367.22,-5.729,30.936,31.462
129,4.3,586.61,369.05,-8.569,31.855,32.987
130,4.333,586.8,369.96,-8.134,32.994,33.982
131,4.367,587.14,370.59,-5.017,33.844,34.214
132,4.4,587.66,371.72,-0.673,33.978,33.985
133,4.433,587.92,372.01,2.464,32.97,33.062
134,4.467,588.04,372.15,4.51,30.602,30.932
135,4.5,587.98,373.18,5.469,26.996,27.544
136,4.533,587.74,374.76,6.823,22.787,23.787
137,4.567,587.7,375.66,7.769,18.166,19.758
138,4.6,587.55,376.39,8.125,13.185,15.487
139,4.633,587.29,377.41,8.066,8.277,11.557
140,4.667,587.43,377.98,7.645,4.081,8.666
141,4.7,587.88,377.68,7.001,0.898,7.059
142,4.733,588.9,377.34,6.062,-1.579,6.264
143,4.767,590.2,377.37,4.977,-3.746,6.23
144,4.8,591.24,378.14,3.94,-5.937,7.126
145,4.833,591.92,376.89,2.908,-8.294,8.789
146,4.867,591.72,375.83,1.817,-9.888,10.053
147,4.9,590.89,374.76,0.731,-10.415,10.441
148,4.933,589.75,373.8,-0.437,-10.466,10.475
149,4.967,588.96,373.71,-1.566,-9.462,9.59
150,5.0,588.66,373.95,-2.568,-7.45,7.88
151,5.033,588.79,373.96,-3.352,-5.067,6.075
152,5.067,588.94,373.83,-3.838,-2.921,4.823
153,5.1,589.28,374.07,-4.071,-0.779,4.145
154,5.133,589.29,374.41,-4.081,1.057,4.215
155,5.167,589.09,374.29,-3.802,2.161,4.373
156,5.2,588.57,374.35,-3.259,2.635,4.191
157,5.233,588.62,374.46,-2.548,2.992,3.93
158,5.267,588.67,374.4,-2.053,3.918,4.423
159,5.3,588.62,374.95,-2.08,4.662,5.105
160,5.333,588.76,376.05,-2.691,4.298,5.071
161,5.367,588.96,376.11,-3.99,3.832,5.532
162,5.4,588.94,375.61,-5.865,2.959,6.569
163,5.433,588.83,375.58,-7.989,1.878,8.207
164,5.467,588.55,374.91,-10.011,0.465,10.021
165,5.5,588.03,374.4,-12.161,-0.858,12.191
166,5.533,587.36,374.16,-13.719,-3.25,14.098
167,5.567,586.65,374.22,-14.698,-6.26,15.976
168,5.6,585.8,373.96,-14.924,-9.481,17.681
169,5.633,585.16,374.16,-14.835,-12.732,19.549
170,5.667,584.76,374.67,-14.693,-16.683,22.231
171,5.7,584.27,375.13,-14.845,-20.404,25.233
172,5.733,583.72,375.24,-15.626,-23.479,28.204
173,5.767,583.25,373.45,-17.62,-25.264,30.802
174,5.8,582.65,372.03,-20.124,-25.871,32.776
