behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,192,215,6.4,7.17,0.77
rearing,2,342,366,11.4,12.2,0.8
grooming,1,349,359,11.63,11.97,0.33
grooming,2,530,542,17.67,18.07,0.4
rearing,3,598,608,19.93,20.27,0.33
rearing,4,721,741,24.03,24.7,0.67
rearing,5,785,829,26.17,27.63,1.47
rearing,6,994,1022,33.13,34.07,0.93
rearing,7,1190,1231,39.67,41.03,1.37
rearing,8,1250,1268,41.67,42.27,0.6
grooming,3,1424,1434,47.47,47.8,0.33
rearing,9,1539,1638,51.3,54.6,3.3
grooming,4,2145,2158,71.5,71.93,0.43
rearing,10,2159,2184,71.97,72.8,0.83
grooming,5,2180,2208,72.67,73.6,0.93
rearing,11,2273,2297,75.77,76.57,0.8
rearing,12,2318,2361,77.27,78.7,1.43
rearing,13,2398,2428,79.93,80.93,1.0
rearing,14,2444,2474,81.47,82.47,1.0
rearing,15,2634,2745,87.8,91.5,3.7
grooming,6,3427,3448,114.23,114.93,0.7
rearing,16,3561,3632,118.7,121.07,2.37
rearing,17,3848,3939,128.27,131.3,3.03
rearing,18,4111,4174,137.03,139.13,2.1
rearing,19,4317,4333,143.9,144.43,0.53
