frame,time_s,behaviour
0,0.0,other
1,0.03333333333333333,other
2,0.06666666666666667,other
3,0.1,other
4,0.13333333333333333,other
5,0.16666666666666666,other
6,0.2,other
7,0.23333333333333334,other
8,0.26666666666666666,other
9,0.3,other
10,0.3333333333333333,other
11,0.36666666666666664,other
12,0.4,other
13,0.43333333333333335,other
14,0.4666666666666667,other
15,0.5,other
16,0.5333333333333333,other
17,0.5666666666666667,other
18,0.6,other
19,0.6333333333333333,other
20,0.6666666666666666,other
21,0.7,other
22,0.7333333333333333,other
23,0.7666666666666667,other
24,0.8,other
25,0.8333333333333334,other
26,0.8666666666666667,other
27,0.9,other
28,0.9333333333333333,other
29,0.9666666666666667,other
30,1.0,other
31,1.0333333333333334,other
32,1.0666666666666667,other
33,1.1,other
34,1.1333333333333333,other
35,1.1666666666666667,other
36,1.2,other
37,1.2333333333333334,other
38,1.2666666666666666,other
39,1.3,other
40,1.3333333333333333,other
41,1.3666666666666667,other
42,1.4,other
43,1.4333333333333333,other
44,1.4666666666666666,other
45,1.5,other
46,1.5333333333333334,other
47,1.5666666666666667,other
48,1.6,other
49,1.6333333333333333,other
50,1.6666666666666667,other
51,1.7,other
52,1.7333333333333334,other
53,1.7666666666666666,other
54,1.8,other
55,1.8333333333333333,other
56,1.8666666666666667,other
57,1.9,other
58,1.9333333333333333,other
59,1.9666666666666666,other
60,2.0,other
61,2.033333333333333,other
62,2.066666666666667,other
63,2.1,other
64,2.1333333333333333,other
65,2.1666666666666665,other
66,2.2,other
67,2.2333333333333334,other
68,2.2666666666666666,other
69,2.3,other
70,2.3333333333333335,other
71,2.3666666666666667,other
72,2.4,other
73,2.433333333333333,other
74,2.466666666666667,other
75,2.5,other
76,2.533333333333333,other
77,2.566666666666667,other
78,2.6,other
79,2.6333333333333333,other
80,2.6666666666666665,other
81,2.7,other
82,2.7333333333333334,other
83,2.7666666666666666,other
84,2.8,other
85,2.8333333333333335,other
86,2.8666666666666667,other
87,2.9,other
88,2.933333333333333,other
89,2.966666666666667,other
90,3.0,other
91,3.033333333333333,other
92,3.066666666666667,other
93,3.1,other
94,3.1333333333333333,other
95,3.1666666666666665,other
96,3.2,other
97,3.2333333333333334,other
98,3.2666666666666666,other
99,3.3,other
100,3.3333333333333335,other
101,3.3666666666666667,grooming
102,3.4,other
103,3.433333333333333,grooming
104,3.466666666666667,other
105,3.5,other
106,3.533333333333333,other
107,3.566666666666667,other
108,3.6,other
109,3.6333333333333333,other
110,3.6666666666666665,other
111,3.7,other
112,3.7333333333333334,other
113,3.7666666666666666,other
114,3.8,other
115,3.8333333333333335,other
116,3.8666666666666667,other
117,3.9,other
118,3.933333333333333,other
119,3.966666666666667,other
120,4.0,other
121,4.033333333333333,rearing
122,4.066666666666666,rearing
123,4.1,rearing
124,4.133333333333334,rearing
125,4.166666666666667,rearing
126,4.2,rearing
127,4.233333333333333,rearing
128,4.266666666666667,rearing
129,4.3,rearing
130,4.333333333333333,rearing
131,4.366666666666666,rearing
132,4.4,rearing
133,4.433333333333334,rearing
134,4.466666666666667,other
135,4.5,other
136,4.533333333333333,other
137,4.566666666666666,other
138,4.6,other
139,4.633333333333334,other
140,4.666666666666667,other
141,4.7,other
142,4.733333333333333,other
143,4.766666666666667,other
144,4.8,other
145,4.833333333333333,other
146,4.866666666666666,other
147,4.9,other
148,4.933333333333334,other
149,4.966666666666667,other
150,5.0,other
151,5.033333333333333,other
152,5.066666666666666,other
153,5.1,other
154,5.133333333333334,other
155,5.166666666666667,other
156,5.2,other
157,5.233333333333333,other
158,5.266666666666667,other
159,5.3,other
160,5.333333333333333,other
161,5.366666666666666,other
162,5.4,other
163,5.433333333333334,other
164,5.466666666666667,other
165,5.5,other
166,5.533333333333333,other
167,5.566666666666666,other
168,5.6,other
169,5.633333333333334,other
170,5.666666666666667,other
171,5.7,other
172,5.733333333333333,other
173,5.766666666666667,other
174,5.8,other
175,5.833333333333333,other
176,5.866666666666666,other
177,5.9,rearing
178,5.933333333333334,rearing
179,5.966666666666667,rearing
180,6.0,rearing
181,6.033333333333333,rearing
182,6.066666666666666,rearing
183,6.1,rearing
184,6.133333333333334,rearing
185,6.166666666666667,rearing
186,6.2,rearing
187,6.233333333333333,rearing
188,6.266666666666667,rearing
189,6.3,rearing
190,6.333333333333333,rearing
191,6.366666666666666,rearing
192,6.4,rearing
193,6.433333333333334,rearing
194,6.466666666666667,rearing
195,6.5,rearing
196,6.533333333333333,rearing
197,6.566666666666666,rearing
198,6.6,rearing
199,6.633333333333334,rearing
200,6.666666666666667,rearing
201,6.7,rearing
202,6.733333333333333,rearing
203,6.766666666666667,rearing
204,6.8,rearing
205,6.833333333333333,rearing
206,6.866666666666666,other
207,6.9,rearing
208,6.933333333333334,rearing
209,6.966666666666667,rearing
210,7.0,rearing
211,7.033333333333333,rearing
212,7.066666666666666,rearing
213,7.1,rearing
214,7.133333333333334,other
215,7.166666666666667,other
216,7.2,other
217,7.233333333333333,other
218,7.266666666666667,other
219,7.3,other
220,7.333333333333333,other
221,7.366666666666666,other
222,7.4,other
223,7.433333333333334,other
224,7.466666666666667,other
225,7.5,other
226,7.533333333333333,other
227,7.566666666666666,other
228,7.6,other
229,7.633333333333334,other
230,7.666666666666667,other
231,7.7,other
232,7.733333333333333,other
233,7.766666666666667,other
234,7.8,other
235,7.833333333333333,other
236,7.866666666666666,other
237,7.9,other
238,7.933333333333334,other
239,7.966666666666667,other
240,8.0,other
241,8.033333333333333,other
242,8.066666666666666,other
243,8.1,other
244,8.133333333333333,other
245,8.166666666666666,other
246,8.2,other
247,8.233333333333333,other
248,8.266666666666667,other
249,8.3,other
250,8.333333333333334,other
251,8.366666666666667,other
252,8.4,other
253,8.433333333333334,other
254,8.466666666666667,other
255,8.5,other
256,8.533333333333333,other
257,8.566666666666666,rearing
258,8.6,rearing
259,8.633333333333333,rearing
260,8.666666666666666,other
261,8.7,other
262,8.733333333333333,other
263,8.766666666666667,other
264,8.8,other
265,8.833333333333334,rearing
266,8.866666666666667,rearing
267,8.9,rearing
268,8.933333333333334,rearing
269,8.966666666666667,rearing
270,9.0,rearing
271,9.033333333333333,rearing
272,9.066666666666666,rearing
273,9.1,rearing
274,9.133333333333333,rearing
275,9.166666666666666,rearing
276,9.2,rearing
277,9.233333333333333,rearing
278,9.266666666666667,rearing
279,9.3,rearing
280,9.333333333333334,rearing
281,9.366666666666667,rearing
282,9.4,rearing
283,9.433333333333334,rearing
284,9.466666666666667,rearing
285,9.5,rearing
286,9.533333333333333,rearing
287,9.566666666666666,rearing
288,9.6,rearing
289,9.633333333333333,rearing
290,9.666666666666666,rearing
291,9.7,rearing
292,9.733333333333333,rearing
293,9.766666666666667,rearing
294,9.8,rearing
295,9.833333333333334,rearing
296,9.866666666666667,rearing
297,9.9,rearing
298,9.933333333333334,rearing
299,9.966666666666667,other
300,10.0,other
301,10.033333333333333,rearing
302,10.066666666666666,other
303,10.1,other
304,10.133333333333333,other
305,10.166666666666666,other
306,10.2,other
307,10.233333333333333,rearing
308,10.266666666666667,rearing
309,10.3,rearing
310,10.333333333333334,rearing
311,10.366666666666667,rearing
312,10.4,rearing
313,10.433333333333334,rearing
314,10.466666666666667,rearing
315,10.5,rearing
316,10.533333333333333,rearing
317,10.566666666666666,rearing
318,10.6,rearing
319,10.633333333333333,rearing
320,10.666666666666666,rearing
321,10.7,rearing
322,10.733333333333333,rearing
323,10.766666666666667,rearing
324,10.8,rearing
325,10.833333333333334,rearing
326,10.866666666666667,rearing
327,10.9,rearing
328,10.933333333333334,rearing
329,10.966666666666667,rearing
330,11.0,rearing
331,11.033333333333333,rearing
332,11.066666666666666,rearing
333,11.1,rearing
334,11.133333333333333,rearing
