scorer,MATLAB_TMaze_v1,MATLAB_TMaze_v1,MATLAB_TMaze_v1
bodyparts,body_center,body_center,body_center
coords,x,y,likelihood
0,569.714031,366.989001,1.000000
1,568.930036,369.212496,1.000000
2,565.572540,368.843400,1.000000
3,565.677643,371.810399,1.000000
4,562.727912,374.358434,1.000000
5,560.338867,373.555013,1.000000
6,558.559140,376.585533,1.000000
7,556.722273,374.347082,1.000000
8,556.735988,375.445723,1.000000
9,556.783260,376.164170,1.000000
10,556.633517,376.959698,1.000000
11,557.594675,377.988462,1.000000
12,558.544978,379.522181,1.000000
13,559.088569,380.142507,1.000000
14,559.873389,377.092524,1.000000
15,559.402036,367.733079,1.000000
16,559.989711,366.972317,1.000000
17,560.936139,367.551015,1.000000
18,562.374883,365.624883,1.000000
19,564.822351,367.182324,1.000000
20,568.274266,368.453608,1.000000
21,572.228291,370.615438,1.000000
22,576.115357,373.524740,1.000000
23,581.476395,374.220396,1.000000
24,566.412643,390.506956,1.000000
25,571.518039,395.541397,1.000000
26,572.999776,399.156691,1.000000
27,574.997180,403.572268,1.000000
28,576.291892,410.350123,1.000000
29,577.253232,416.964005,1.000000
30,576.902966,422.790096,1.000000
31,568.137800,428.375923,1.000000
32,566.236330,433.370974,1.000000
33,565.581542,437.366383,1.000000
34,564.791430,442.287637,1.000000
35,563.854669,450.683854,1.000000
36,564.198454,454.073156,1.000000
37,564.975667,459.377355,1.000000
38,573.754975,466.225871,1.000000
39,575.808736,469.729516,1.000000
40,577.463012,474.067184,1.000000
41,578.629746,479.110278,1.000000
42,578.954410,485.444444,1.000000
43,578.125647,491.786154,1.000000
44,577.417085,497.821967,1.000000
45,576.018653,502.415455,1.000000
46,575.358950,508.774651,1.000000
47,574.820064,511.748504,1.000000
48,574.588979,517.937500,1.000000
49,575.534474,524.839682,1.000000
50,576.903603,530.343355,1.000000
51,578.877666,536.115715,1.000000
52,581.140415,539.349695,1.000000
53,582.731702,542.591198,1.000000
54,583.907873,545.614740,1.000000
55,584.048135,551.025271,1.000000
56,582.524821,558.617900,1.000000
57,580.790453,562.896897,1.000000
58,578.447876,571.116071,1.000000
59,577.093556,575.334606,1.000000
60,575.859674,580.013170,1.000000
61,575.211500,585.920286,1.000000
62,575.501461,592.608325,1.000000
63,576.468640,597.814188,1.000000
64,578.625963,602.076830,1.000000
65,580.373281,604.057745,1.000000
66,581.351981,607.277622,1.000000
67,581.921103,611.680371,1.000000
68,581.506877,619.453642,1.000000
69,581.282435,621.282177,1.000000
70,580.008489,621.019226,1.000000
71,578.540359,621.397857,1.000000
72,577.313672,621.500625,1.000000
73,576.235886,622.135248,1.000000
74,575.309699,622.398862,1.000000
75,574.963908,624.204283,1.000000
76,574.700768,623.652738,1.000000
77,574.181214,623.362903,1.000000
78,573.918868,625.219575,1.000000
79,573.547240,627.448533,1.000000
80,574.070730,629.237912,1.000000
81,575.244421,628.512714,1.000000
82,576.288839,630.013920,1.000000
83,577.032040,630.007509,1.000000
84,577.502078,630.826448,1.000000
85,577.668532,632.021660,1.000000
86,577.870321,632.460275,1.000000
87,577.797995,635.324529,1.000000
88,578.038499,635.911694,1.000000
89,577.351914,638.804545,1.000000
90,576.923237,638.509508,1.000000
91,576.693497,639.678945,1.000000
92,576.539750,641.715499,1.000000
93,575.996027,644.465997,1.000000
94,575.608655,645.730107,1.000000
95,572.394214,649.310017,1.000000
96,572.274169,650.892755,1.000000
97,575.203872,648.763145,1.000000
98,575.613401,648.151603,1.000000
99,576.082079,647.972802,1.000000
100,576.177427,647.243204,1.000000
101,576.285679,646.713074,1.000000
102,576.600806,645.204133,1.000000
103,577.004886,642.914117,1.000000
104,577.165563,641.641875,1.000000
105,577.439299,640.990058,1.000000
106,578.239467,639.824267,1.000000
107,578.092437,640.386555,1.000000
108,578.194306,637.904367,1.000000
109,580.014830,632.350974,1.000000
110,580.115062,633.755879,1.000000
111,580.050902,634.807446,1.000000
112,580.335270,634.555491,1.000000
113,580.865135,633.134570,1.000000
114,581.098888,632.052662,1.000000
115,581.739493,630.363636,1.000000
116,578.710240,631.703947,1.000000
117,577.204088,634.302245,1.000000
118,578.004235,632.735632,1.000000
119,577.311665,631.130923,1.000000
120,577.863362,629.915157,1.000000
121,576.389867,628.624961,1.000000
122,580.529453,626.513675,1.000000
123,580.895795,625.712249,1.000000
124,580.806320,625.343866,1.000000
125,581.329268,624.675686,1.000000
126,581.901937,624.342211,1.000000
127,582.120857,622.966855,1.000000
128,582.356098,622.465447,1.000000
129,582.001626,623.189837,1.000000
130,581.488155,624.715728,1.000000
131,581.582072,623.785259,1.000000
132,581.398992,624.026755,1.000000
