start_frame,end_frame,start_s,end_s,behaviour,duration_s,n_frames
0,74,0.0,2.467,other,2.5,75
75,94,2.5,3.133,rearing,0.667,20
95,379,3.167,12.633,other,9.5,285
380,394,12.667,13.133,rearing,0.5,15
395,659,13.167,21.967,other,8.833,265
660,694,22.0,23.133,rearing,1.167,35
695,729,23.167,24.3,other,1.167,35
730,749,24.333,24.967,rearing,0.667,20
750,1164,25.0,38.8,other,13.833,415
1165,1189,38.833,39.633,grooming,0.833,25
1190,3839,39.667,127.967,other,88.333,2650
3840,3869,128.0,128.967,grooming,1.0,30
3870,3879,129.0,129.3,other,0.333,10
3880,3929,129.333,130.967,grooming,1.667,50
3930,4324,131.0,144.133,other,13.167,395
4325,4339,144.167,144.633,rearing,0.5,15
4340,4359,144.667,145.3,other,0.667,20
4360,4369,145.333,145.633,grooming,0.333,10
4370,5331,145.667,177.7,other,32.067,962
