frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,576.21,364.22,232.444,253.814,344.168
1,0.033,581.72,370.56,211.816,227.169,310.599
2,0.067,582.21,376.94,192.156,201.865,278.7
3,0.1,596.64,393.52,173.467,177.901,248.474
4,0.133,600.08,395.11,155.747,155.277,219.927
5,0.167,603.26,400.48,138.996,133.993,193.065
6,0.2,607.85,404.29,123.215,114.049,167.897
7,0.233,610.68,405.88,108.404,95.446,144.435
8,0.267,614.32,407.87,94.563,78.182,122.697
9,0.3,616.07,408.46,81.691,62.259,102.711
10,0.333,620.27,408.69,69.788,47.676,84.519
11,0.367,624.59,410.29,58.856,34.433,68.188
12,0.4,627.67,412.47,48.892,22.53,53.834
13,0.433,628.96,412.92,39.899,11.967,41.655
14,0.467,630.07,414.86,31.875,2.745,31.993
15,0.5,630.34,415.27,24.821,-5.138,25.347
16,0.533,630.33,415.37,18.099,-10.256,20.803
17,0.567,630.39,415.12,13.116,-12.176,17.897
18,0.6,630.14,414.4,12.235,-10.901,16.387
19,0.633,629.12,414.29,8.124,-13.228,15.523
20,0.667,629.94,414.79,4.697,-13.487,14.282
21,0.7,629.98,412.9,2.846,-14.015,14.301
22,0.733,630.23,410.0,1.3,-14.896,14.953
23,0.767,631.1,408.84,1.107,-15.143,15.184
24,0.8,629.91,409.11,1.517,-15.166,15.241
25,0.833,630.31,408.55,4.013,-14.447,14.994
26,0.867,632.0,408.9,6.653,-12.7,14.337
27,0.9,632.88,408.95,8.518,-10.628,13.62
28,0.933,633.66,408.64,9.164,-8.681,12.623
29,0.967,634.4,408.91,9.321,-6.268,11.233
30,1.0,634.61,410.75,9.538,-4.502,10.547
31,1.033,633.31,410.4,8.854,-3.216,9.42
32,1.067,632.29,410.07,7.511,-2.187,7.823
33,1.1,632.31,409.15,5.839,-1.403,6.006
34,1.133,632.83,408.59,4.367,-0.913,4.462
35,1.167,634.02,407.8,3.559,-1.37,3.814
36,1.2,633.89,407.51,2.642,-3.472,4.363
37,1.233,634.8,407.68,1.365,-6.397,6.541
38,1.267,634.98,407.41,-0.189,-8.991,8.993
39,1.3,635.62,407.25,-2.104,-11.064,11.262
40,1.333,634.53,407.22,-3.807,-12.796,13.351
41,1.367,634.07,407.24,-4.096,-14.139,14.72
42,1.4,633.8,407.34,-4.188,-15.175,15.742
43,1.433,634.32,407.07,-3.972,-15.806,16.297
44,1.467,634.36,406.54,-3.764,-15.228,15.687
45,1.5,632.49,406.01,-4.051,-13.841,14.422
46,1.533,632.91,405.79,-4.857,-12.72,13.615
47,1.567,633.47,404.81,-4.167,-11.046,11.806
48,1.6,633.52,403.48,-3.082,-9.921,10.389
49,1.633,632.81,402.26,-1.995,-8.914,9.134
50,1.667,632.1,401.51,-1.332,-6.215,6.356
51,1.7,631.19,401.31,-1.584,-2.549,3.001
52,1.733,631.63,402.27,-1.66,2.148,2.714
53,1.767,632.29,403.62,-1.737,10.256,10.402
54,1.8,632.83,404.44,-1.945,23.932,24.011
55,1.833,635.29,404.76,-3.228,36.584,36.726
56,1.867,634.38,406.33,-3.664,49.131,49.268
57,1.9,634.01,407.85,-2.777,61.655,61.718
58,1.933,633.43,409.99,-0.534,73.427,73.429
59,1.967,632.99,411.25,2.721,84.722,84.766
60,2.0,633.18,412.95,7.368,94.073,94.361
61,2.033,633.9,414.99,13.535,101.027,101.929
62,2.067,631.75,417.21,19.688,105.661,107.48
63,2.1,631.8,422.63,25.369,108.24,111.173
64,2.133,632.22,429.68,30.643,108.45,112.697
65,2.167,633.53,433.9,35.623,106.689,112.48
66,2.2,635.66,440.83,40.312,104.19,111.717
67,2.233,637.3,448.63,44.548,100.193,109.65
68,2.267,638.42,450.56,47.838,94.924,106.297
69,2.3,640.59,444.56,50.484,87.764,101.248
70,2.333,645.01,449.87,51.175,79.978,94.949
71,2.367,648.16,452.92,48.957,72.457,87.446
72,2.4,650.2,454.57,45.406,63.837,78.339
73,2.433,651.88,456.14,41.335,55.679,69.344
74,2.467,652.8,455.7,36.332,46.353,58.895
75,2.5,652.03,457.2,31.38,37.687,49.041
76,2.533,652.05,459.15,25.84,29.96,39.563
77,2.567,652.57,460.09,20.025,23.471,30.853
78,2.6,653.1,460.68,15.366,19.353,24.711
79,2.633,653.16,462.62,11.324,16.367,19.902
80,2.667,653.23,464.65,8.009,13.673,15.846
81,2.7,653.07,464.18,5.178,11.382,12.505
82,2.733,653.58,465.23,3.619,8.115,8.886
83,2.767,653.85,465.02,2.842,2.172,3.577
84,2.8,652.61,465.96,3.436,-4.586,5.731
85,2.833,653.91,465.06,4.987,-7.685,9.162
86,2.867,655.12,462.92,5.919,-11.305,12.76
87,2.9,656.46,462.98,6.237,-14.621,15.896
88,2.933,655.96,460.19,6.515,-17.956,19.102
89,2.967,656.94,460.93,6.452,-20.574,21.562
90,3.0,656.19,460.14,6.502,-21.398,22.364
91,3.033,656.44,459.8,7.264,-21.466,22.662
92,3.067,655.58,460.22,7.815,-21.319,22.706
93,3.1,655.3,459.69,6.614,-19.757,20.835
94,3.133,655.34,459.08,4.163,-16.724,17.234
95,3.167,655.84,457.43,1.273,-13.517,13.577
96,3.2,657.04,457.42,-1.884,-11.016,11.176
97,3.233,655.98,456.58,-4.815,-8.101,9.423
98,3.267,656.33,455.98,-7.726,-5.763,9.639
99,3.3,656.37,455.86,-9.828,-3.389,10.396
100,3.333,656.39,456.61,-10.589,-2.257,10.827
101,3.367,656.71,456.53,-11.382,-1.172,11.443
102,3.4,657.14,455.79,-11.731,-0.01,11.731
103,3.433,656.39,456.97,-12.552,0.876,12.583
104,3.467,655.53,456.84,-13.478,2.468,13.702
105,3.5,653.24,456.75,-15.053,3.03,15.355
106,3.533,650.38,457.35,-18.015,4.835,18.653
107,3.567,648.19,458.71,-21.364,6.436,22.312
108,3.6,649.0,458.28,-24.063,7.408,25.177
109,3.633,649.52,457.51,-27.847,8.51,29.118
110,3.667,649.31,457.32,-32.919,9.647,34.303
111,3.7,649.18,457.91,-38.889,11.475,40.546
112,3.733,648.65,458.19,-45.055,13.141,46.932
113,3.767,648.09,458.77,-51.891,15.057,54.031
114,3.8,645.77,458.77,-58.95,16.854,61.312
115,3.833,643.68,459.83,-66.769,16.929,68.882
116,3.867,641.77,459.78,-75.896,16.401,77.648
117,3.9,637.77,461.14,-85.448,16.451,87.017
118,3.933,633.99,461.35,-93.016,18.205,94.781
119,3.967,630.38,462.83,-100.931,19.906,102.875
120,4.0,625.57,465.38,-109.343,20.97,111.336
121,4.033,623.87,464.35,-116.117,22.763,118.327
122,4.067,619.23,465.56,-123.407,24.77,125.868
123,4.1,612.67,466.85,-129.449,25.464,131.93
124,4.133,608.99,467.17,-133.165,26.939,135.862
125,4.167,606.12,467.49,-136.712,29.98,139.961
126,4.2,602.47,467.49,-139.473,32.966,143.316
127,4.233,595.89,467.61,-142.623,35.257,146.917
128,4.267,592.36,467.49,-145.107,36.792,149.698
129,4.3,586.84,468.12,-146.294,38.246,151.211
130,4.333,582.72,472.94,-146.345,39.013,151.456
131,4.367,580.65,475.81,-143.775,38.538,148.85
132,4.4,577.22,477.25,-142.355,36.301,146.91
133,4.433,567.18,476.7,-140.414,32.72,144.176
134,4.467,561.73,477.22,-134.706,27.306,137.446
135,4.5,556.97,480.35,-131.89,21.85,133.687
136,4.533,549.29,480.92,-129.778,14.903,130.631
137,4.567,548.47,481.38,-129.407,8.525,129.688
138,4.6,546.31,483.97,-128.63,1.666,128.641
139,4.633,539.16,483.55,-129.677,-4.865,129.768
140,4.667,536.04,480.8,-128.876,-10.042,129.267
141,4.7,532.39,480.07,-127.031,-12.709,127.665
142,4.733,531.56,479.55,-126.091,-11.472,126.612
143,4.767,529.27,479.25,-122.764,-7.938,123.021
144,4.8,524.81,476.61,-118.746,-1.618,118.757
145,4.833,521.48,475.26,-114.098,5.792,114.245
146,4.867,513.11,473.85,-109.045,10.62,109.561
147,4.9,510.98,475.33,-104.342,13.204,105.174
148,4.933,507.47,475.49,-100.949,15.485,102.13
149,4.967,494.7,479.28,-96.141,18.591,97.922
150,5.0,494.64,479.19,-90.416,21.875,93.025
151,5.033,493.04,481.01,-85.577,24.24,88.944
152,5.067,491.08,483.03,-79.087,26.458,83.395
153,5.1,487.18,486.64,-74.539,27.902,79.591
154,5.133,492.45,489.49,-70.943,27.79,76.192
155,5.167,489.21,491.87,-65.933,26.608,71.099
156,5.2,485.52,491.99,-60.528,24.603,65.337
157,5.233,486.22,488.31,-54.936,22.529,59.376
158,5.267,483.36,486.64,-52.029,20.04,55.755
159,5.3,480.54,483.39,-51.341,17.625,54.282
160,5.333,479.56,482.55,-51.555,16.718,54.198
161,5.367,477.7,485.1,-53.326,16.56,55.838
162,5.4,473.68,488.91,-53.19,17.881,56.115
163,5.433,470.87,490.22,-55.189,19.173,58.425
164,5.467,469.54,491.25,-56.412,20.772,60.115
165,5.5,465.87,493.0,-52.76,21.563,56.996
166,5.533,465.62,493.73,-47.691,23.027,52.959
167,5.567,464.58,494.15,-41.005,24.345,47.687
168,5.6,465.11,495.53,-32.384,26.394,41.777
169,5.633,464.1,495.18,-20.956,26.747,33.979
170,5.667,463.46,495.41,-13.101,24.772,28.023
171,5.7,461.4,498.29,-5.237,20.897,21.543
172,5.733,459.64,498.58,3.091,15.615,15.918
173,5.767,460.6,499.42,8.38,11.009,13.836
174,5.8,461.58,498.83,12.383,6.622,14.042
175,5.833,462.1,497.6,15.711,4.102,16.238
176,5.867,463.15,497.48,17.437,3.283,17.743
177,5.9,463.14,496.81,18.036,2.595,18.222
178,5.933,467.17,496.9,18.855,1.02,18.883
179,5.967,466.7,498.26,19.032,-0.431,19.036
180,6.0,469.7,498.34,18.149,-1.684,18.227
181,6.033,469.75,498.95,17.315,-2.749,17.532
182,6.067,469.8,499.79,15.591,-4.049,16.108
183,6.1,468.63,497.78,13.24,-5.271,14.251
184,6.133,466.92,497.72,9.536,-6.446,11.511
185,6.167,467.56,498.56,5.348,-7.525,9.232
186,6.2,467.17,497.65,0.543,-8.845,8.861
187,6.233,466.21,496.84,-2.902,-11.527,11.887
188,6.267,467.78,496.02,-4.68,-15.041,15.752
189,6.3,469.03,495.61,-5.733,-18.302,19.179
190,6.333,469.34,495.02,-7.041,-22.792,23.855
191,6.367,469.49,494.04,-6.817,-27.085,27.93
192,6.4,468.8,493.32,-6.812,-33.291,33.981
193,6.433,467.26,492.63,-5.704,-39.48,39.89
194,6.467,466.8,491.52,-6.413,-46.658,47.097
195,6.5,465.99,490.26,-6.934,-55.47,55.902
196,6.533,465.98,487.54,-9.563,-65.105,65.804
197,6.567,465.32,486.01,-12.479,-74.288,75.329
198,6.6,465.09,483.99,-15.905,-83.11,84.618
199,6.633,465.04,480.3,-18.597,-90.196,92.093
200,6.667,465.0,477.6,-20.091,-96.285,98.358
201,6.7,465.66,475.19,-22.297,-100.712,103.151
202,6.733,464.46,471.66,-24.919,-105.308,108.216
203,6.767,463.22,468.59,-25.743,-107.198,110.245
204,6.8,461.47,461.34,-27.08,-106.898,110.275
205,6.833,461.77,457.61,-28.602,-104.805,108.638
206,6.867,458.5,451.58,-30.757,-101.152,105.725
207,6.9,457.97,449.51,-34.582,-99.398,105.242
208,6.933,455.76,444.83,-39.423,-94.91,102.772
209,6.967,454.85,442.29,-44.409,-91.846,102.019
210,7.0,453.65,440.9,-49.18,-90.42,102.93
211,7.033,453.61,440.36,-53.334,-90.266,104.845
212,7.067,452.14,437.48,-56.689,-91.623,107.742
213,7.1,450.98,434.38,-58.617,-95.001,111.629
214,7.133,448.34,431.68,-59.147,-99.08,115.392
215,7.167,445.34,429.4,-57.618,-102.564,117.64
216,7.2,444.23,424.18,-53.278,-108.453,120.833
217,7.233,444.12,424.73,-47.32,-115.389,124.714
218,7.267,440.23,419.52,-41.272,-121.687,128.495
219,7.3,438.05,414.28,-34.582,-128.85,133.41
220,7.333,434.37,408.08,-28.087,-134.914,137.806
221,7.367,431.63,400.64,-22.742,-139.39,141.233
222,7.4,431.43,400.77,-17.045,-140.377,141.408
223,7.433,431.79,389.8,-12.133,-141.084,141.605
224,7.467,432.84,385.37,-8.448,-140.254,140.508
225,7.5,433.58,381.49,-7.236,-137.905,138.095
226,7.533,435.1,376.58,-8.059,-136.188,136.427
227,7.567,436.47,373.76,-9.805,-134.998,135.354
