behaviour,bout,start_frame,end_frame,start_s,end_s,duration_s
rearing,1,37,92,1.23,3.07,1.83
rearing,2,178,218,5.93,7.27,1.33
rearing,3,324,371,10.8,12.37,1.57
rearing,4,443,455,14.77,15.17,0.4
rearing,5,515,526,17.17,17.53,0.37
rearing,6,696,732,23.2,24.4,1.2
rearing,7,777,801,25.9,26.7,0.8
rearing,8,878,946,29.27,31.53,2.27
rearing,9,1013,1041,33.77,34.7,0.93
grooming,1,1181,1205,39.37,40.17,0.8
rearing,10,1207,1317,40.23,43.9,3.67
rearing,11,1571,1584,52.37,52.8,0.43
grooming,2,1754,1790,58.47,59.67,1.2
rearing,12,1791,1916,59.7,63.87,4.17
grooming,3,1982,1996,66.07,66.53,0.47
rearing,13,2010,2065,67.0,68.83,1.83
grooming,4,2118,2142,70.6,71.4,0.8
grooming,5,2180,2276,72.67,75.87,3.2
grooming,6,2383,2392,79.43,79.73,0.3
grooming,7,2821,2979,94.03,99.3,5.27
grooming,8,3783,3795,126.1,126.5,0.4
grooming,9,3877,3895,129.23,129.83,0.6
rearing,14,3906,3918,130.2,130.6,0.4
grooming,10,4109,4304,136.97,143.47,6.5
grooming,11,4320,5067,144.0,168.9,24.9
