frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
0,0.0,561.11,376.14,-31.416,109.513,113.93
1,0.033,558.84,377.22,-24.55,89.397,92.707
2,0.067,557.42,377.78,-18.058,71.067,73.326
3,0.1,556.48,378.19,-11.94,54.524,55.816
4,0.133,550.16,376.9,-6.197,39.767,40.247
5,0.167,545.39,373.34,-0.827,26.797,26.81
6,0.2,559.48,368.31,4.168,15.613,16.159
7,0.233,556.9,369.35,8.789,6.215,10.764
8,0.267,560.65,387.63,13.036,-1.397,13.11
9,0.3,559.48,388.38,16.908,-7.222,18.386
10,0.333,560.15,390.84,20.407,-11.26,23.307
11,0.367,561.24,392.21,23.531,-13.513,27.135
12,0.4,560.17,393.73,26.281,-13.979,29.767
13,0.433,562.67,395.92,28.657,-12.659,31.328
14,0.467,563.67,396.57,30.658,-9.552,32.112
15,0.5,560.05,369.66,32.286,-4.659,32.62
16,0.533,559.34,370.21,32.8,2.97,32.934
17,0.567,560.24,371.17,33.423,11.5,35.345
18,0.6,562.16,373.25,33.224,21.08,39.347
19,0.633,566.62,374.75,32.036,33.029,46.013
20,0.667,565.73,374.4,33.088,47.357,57.771
21,0.7,571.13,367.95,37.032,65.251,75.027
22,0.733,579.79,400.42,32.668,88.481,94.32
23,0.767,567.67,391.97,28.421,113.984,117.474
24,0.8,570.7,399.36,22.47,131.282,133.191
25,0.833,572.34,405.87,16.727,148.749,149.687
26,0.867,574.6,412.29,11.921,161.835,162.273
27,0.9,576.68,411.37,7.958,170.627,170.812
28,0.933,576.23,415.58,5.166,175.549,175.625
29,0.967,576.47,422.22,2.22,172.739,172.753
30,1.0,575.67,428.27,-0.528,162.306,162.307
31,1.033,574.8,431.85,-1.5,161.856,161.863
32,1.067,572.51,438.56,-1.129,161.002,161.006
33,1.1,571.16,445.65,-0.684,159.317,159.318
34,1.133,569.75,449.47,-0.161,158.214,158.214
35,1.167,568.71,454.15,-0.802,156.642,156.644
36,1.2,568.39,459.31,0.216,157.017,157.017
37,1.233,572.75,464.26,0.193,166.429,166.43
38,1.267,575.45,471.27,-3.804,164.368,164.412
39,1.3,576.59,479.19,-0.876,166.481,166.484
40,1.333,578.9,480.86,3.293,166.374,166.407
