subject_id,cohort,group,total_distance_px,mean_speed_px_s,pct_time_center,pct_time_periphery,center_entries,spatial_entropy,session_s,rear_count,rear_total_s,rear_pct,rear_mean_s,rear_max_s,rear_frag_idx,groom_count,groom_total_s,groom_pct,groom_mean_s,groom_max_s,groom_frag_idx
MA1_1,MA1,Control,3007.8,16.99,90.09,9.91,6,0.306,177.7,6,4.2,2.36,0.7,1.23,1.429,1,0.6,0.34,0.6,0.6,1.667
MA1_2,MA1,Control,3956.4,23.73,4.45,95.55,8,0.4875,168.9,9,13.9,8.23,1.544,3.37,0.647,2,8.1,4.8,4.05,7.53,0.247
MA1_3,MA1,Control,6384.3,38.64,25.78,74.22,16,0.7448,169.4,19,27.03,15.96,1.423,3.7,0.703,6,3.12,1.84,0.52,0.93,1.923
MA3_1,MA3,Aspartame,5234.9,30.0,9.28,90.72,13,0.6705,174.8,12,23.34,13.35,1.945,4.2,0.514,6,8.14,4.66,1.357,2.77,0.737
MA3_2,MA3,Aspartame,4990.7,29.75,32.17,67.83,10,0.787,168.0,9,7.43,4.42,0.826,1.8,1.211,3,1.9,1.13,0.633,0.7,1.579
MA3_3,MA3,Aspartame,4720.1,29.5,11.04,88.96,11,0.7378,160.1,9,11.47,7.16,1.274,3.27,0.785,1,0.7,0.44,0.7,0.7,1.429
MA5_1,MA5,Grapefruit,2965.3,16.54,3.09,96.91,6,0.5532,179.3,10,12.11,6.75,1.211,3.43,0.826,16,73.07,40.75,4.567,22.4,0.219
MA5_2,MA5,Grapefruit,7033.9,39.56,9.48,90.52,6,0.8233,177.8,22,45.91,25.82,2.087,5.53,0.479,15,16.22,9.12,1.081,5.57,0.925
MA5_3,MA5,Grapefruit,7882.0,44.77,8.39,91.61,6,0.7787,176.9,22,47.17,26.66,2.144,6.87,0.466,6,6.69,3.78,1.115,3.67,0.897
MA7_1,MA7,"Aspartame+
Grapefruit",6362.7,37.33,35.91,64.09,21,0.8203,170.5,23,38.21,22.41,1.661,5.97,0.602,17,29.44,17.27,1.732,9.1,0.577
MA7_2,MA7,"Aspartame+
Grapefruit",7876.0,44.64,19.2,80.8,17,0.8289,177.0,19,30.75,17.37,1.618,4.77,0.618,22,24.3,13.73,1.105,4.4,0.905
MA7_3,MA7,"Aspartame+
Grapefruit",6608.7,37.6,37.18,62.82,14,0.7929,176.6,15,16.42,9.3,1.095,3.7,0.914,8,5.04,2.85,0.63,1.27,1.587
