subject_id,cohort,group,session_duration_s,n_frames,bouts_csv_found,total_distance_px,mean_speed_px_s,max_speed_px_s,pct_time_center,pct_time_periphery,center_zone_entries,freeze_bout_count,total_freeze_s,pct_time_freeze,spatial_entropy_norm,rear_bout_count,rear_total_s,rear_pct_time,groom_bout_count,groom_total_s,groom_pct_time
MA7_1,MA7,Aspartame+Grapefruit,170.5,5116,True,6362.7,37.33,622.77,35.91,64.09,21,8,5.83,3.42,0.8203,23,38.21,22.41,17,29.44,17.26
MA7_2,MA7,Aspartame+Grapefruit,177.0,5311,True,7876.0,44.64,878.95,19.2,80.8,17,9,9.2,5.2,0.8289,19,30.75,17.37,22,24.3,13.73
MA7_3,MA7,Aspartame+Grapefruit,176.6,5297,True,6608.7,37.6,530.84,37.18,62.82,14,21,17.27,9.78,0.7929,15,16.42,9.3,8,5.04,2.85
MA8_1,MA8,Aspartame+Grapefruit,178.8,5365,True,2747.7,15.44,477.85,0.22,99.78,0,29,18.87,10.55,0.23,33,68.9,38.53,9,8.2,4.59
MA8_2,MA8,Aspartame+Grapefruit,177.6,5327,True,6636.9,37.4,1153.71,20.11,79.89,16,3,1.57,0.88,0.7163,21,29.48,16.6,9,13.59,7.65
MA8_3,MA8,Aspartame+Grapefruit,176.6,5298,True,6090.1,34.66,1680.6,14.56,85.44,19,3,1.7,0.96,0.5791,23,44.14,24.99,6,3.77,2.13
MA8_4,MA8,Aspartame+Grapefruit,173.2,5195,True,8106.0,46.84,874.98,18.31,81.69,19,7,3.93,2.27,0.7673,20,35.9,20.73,9,8.17,4.72
MA8_5,MA8,Aspartame+Grapefruit,171.4,5143,True,4925.1,28.75,719.17,6.53,93.47,6,16,12.93,7.54,0.6424,15,27.27,15.91,19,24.5,14.29
MA3_1,MA3,Aspartame,174.8,5243,True,5234.9,30.0,432.61,9.28,90.72,13,12,10.77,6.16,0.6705,16,42.81,24.5,11,12.66,7.24
MA3_2,MA3,Aspartame,168.0,5041,True,4990.7,29.75,376.82,32.17,67.83,10,8,5.53,3.29,0.787,9,12.66,7.53,11,12.63,7.52
MA3_3,MA3,Aspartame,160.1,4803,True,4720.1,29.5,1100.37,11.04,88.96,11,16,13.67,8.54,0.7378,19,24.74,15.45,22,26.45,16.52
MA4_1,MA4,Aspartame,174.5,5234,True,6138.5,35.22,867.49,12.23,87.77,11,11,7.63,4.38,0.7808,20,52.57,30.13,9,8.84,5.07
MA4_2,MA4,Aspartame,177.6,5328,True,4122.4,23.22,726.99,21.15,78.85,15,18,12.03,6.78,0.6016,8,9.28,5.23,20,27.53,15.5
MA4_3,MA4,Aspartame,159.6,4788,True,5235.1,32.86,813.01,17.23,82.77,14,5,2.57,1.61,0.73,16,40.39,25.31,9,4.69,2.94
MA4_4,MA4,Aspartame,171.4,5143,True,7895.3,46.14,1074.48,25.07,74.93,13,3,2.17,1.26,0.8369,20,35.62,20.78,3,3.8,2.22
MA4_5,MA4,Aspartame,174.2,5226,True,5752.4,33.07,1054.81,39.35,60.65,15,4,3.67,2.1,0.704,10,28.66,16.45,12,12.27,7.04
MA5_1,MA5,Grapefruit,179.3,5380,True,2965.3,16.54,432.56,3.09,96.91,6,50,43.0,23.98,0.5532,12,15.77,8.79,16,73.07,40.75
MA5_2,MA5,Grapefruit,177.8,5335,True,7033.9,39.56,760.79,9.48,90.52,6,7,5.03,2.83,0.8233,22,45.91,25.82,21,24.39,13.72
MA5_3,MA5,Grapefruit,176.9,5306,True,7882.0,44.77,839.62,8.39,91.61,6,7,3.97,2.24,0.7787,22,46.8,26.46,13,12.12,6.85
MA6_1,MA6,Grapefruit,169.4,5081,True,9518.6,56.46,1128.21,4.56,95.44,6,10,7.3,4.31,0.7909,29,48.46,28.61,11,9.97,5.89
MA6_2,MA6,Grapefruit,176.2,5286,True,8027.8,45.73,823.82,41.92,58.08,32,6,3.73,2.12,0.7983,22,42.61,24.18,13,11.3,6.41
MA6_3,MA6,Grapefruit,177.9,5337,True,7256.8,40.92,1017.65,13.35,86.65,14,15,9.8,5.51,0.7772,25,45.9,25.8,18,16.57,9.31
MA6_4,MA6,Grapefruit,176.5,5294,True,6549.9,37.26,935.62,6.95,93.05,10,10,6.6,3.74,0.6804,23,31.7,17.96,14,16.92,9.59
MA6_5,MA6,Grapefruit,175.8,5275,True,8003.3,45.52,1291.5,20.38,79.62,24,4,2.4,1.36,0.7728,19,45.63,25.95,13,10.46,5.95
MA1_1,MA1,Control,177.7,5332,True,3007.8,16.99,750.41,90.09,9.91,6,40,43.93,24.72,0.306,7,4.59,2.58,5,7.25,4.08
MA1_2,MA1,Control,168.9,5068,True,3956.4,23.73,866.78,4.45,95.55,8,39,37.2,22.02,0.4875,14,21.2,12.55,11,44.44,26.31
MA1_3,MA1,Control,169.4,5082,True,6384.3,38.64,816.42,25.78,74.22,16,21,15.17,8.95,0.7448,19,36.85,21.75,6,15.98,9.43
MA2_1,MA2,Control,171.9,5157,True,7263.0,42.82,946.82,33.4,66.6,14,0,0.0,0.0,0.6835,15,27.51,16.0,19,22.66,13.18
MA2_2,MA2,Control,168.2,5045,True,7515.0,45.8,786.84,24.6,75.4,23,7,3.77,2.24,0.7676,24,39.36,23.41,9,6.93,4.12
