feature,group_a,group_b,z,p_two_sided,p_bh_within_feature
pct_open_arm,ASP+Greyfurt,Aspartame,1.2476879201943212,0.2121453667669091,0.3182
pct_open_arm,ASP+Greyfurt,Control,2.4953758403886424,0.01258237802104789,0.0755
pct_open_arm,ASP+Greyfurt,Grapefruit,1.020835571068081,0.3073323484185,0.3688
pct_open_arm,Aspartame,Control,1.247687920194321,0.21214536676690932,0.3182
pct_open_arm,Aspartame,Grapefruit,-0.2268523491262403,0.8205385559389233,0.8205
pct_open_arm,Control,Grapefruit,-1.4745402693205614,0.1403361836578494,0.3182
pct_open_arm_entries,ASP+Greyfurt,Aspartame,0.22725138610856221,0.8202282724171435,0.8202
pct_open_arm_entries,ASP+Greyfurt,Control,2.3861395541399055,0.017026288687024715,0.0926
pct_open_arm_entries,ASP+Greyfurt,Grapefruit,0.7953798513799684,0.4263925767252883,0.6396
pct_open_arm_entries,Aspartame,Control,2.158888168031343,0.030858844025269505,0.0926
pct_open_arm_entries,Aspartame,Grapefruit,0.5681284652714061,0.5699477405145521,0.6839
pct_open_arm_entries,Control,Grapefruit,-1.5907597027599372,0.11166366504497383,0.2233
anxiety_index_epm,ASP+Greyfurt,Aspartame,0.3402785236893603,0.7336467888227649,0.7336
anxiety_index_epm,ASP+Greyfurt,Control,2.381949665825522,0.01722125115719564,0.1033
anxiety_index_epm,ASP+Greyfurt,Grapefruit,0.6805570473787206,0.496151813220973,0.7336
anxiety_index_epm,Aspartame,Control,2.041671142136162,0.04118416315538931,0.1236
anxiety_index_epm,Aspartame,Grapefruit,0.3402785236893603,0.7336467888227649,0.7336
anxiety_index_epm,Control,Grapefruit,-1.7013926184468016,0.08886928647264569,0.1777
total_entries,ASP+Greyfurt,Aspartame,1.5312533566021214,0.12570678846187144,0.3125
total_entries,ASP+Greyfurt,Control,1.4178271820390014,0.15624122613529123,0.3125
total_entries,ASP+Greyfurt,Grapefruit,1.8148187930099215,0.06955176136891028,0.3125
total_entries,Aspartame,Control,-0.11342617456312,0.909692689313766,0.9097
total_entries,Aspartame,Grapefruit,0.28356543640780013,0.776743427973901,0.9097
total_entries,Control,Grapefruit,0.3969916109709201,0.6913736468661091,0.9097
mean_speed_px_s,ASP+Greyfurt,Aspartame,0.9058216273156767,0.36503027183830383,0.5136
mean_speed_px_s,ASP+Greyfurt,Control,1.6984155512168937,0.08942935902899363,0.5136
mean_speed_px_s,ASP+Greyfurt,Grapefruit,0.792593923901217,0.42801444993475535,0.5136
mean_speed_px_s,Aspartame,Control,0.792593923901217,0.42801444993475535,0.5136
mean_speed_px_s,Aspartame,Grapefruit,-0.11322770341445978,0.9098500327472845,0.9099
mean_speed_px_s,Control,Grapefruit,-0.9058216273156767,0.36503027183830383,0.5136
total_distance_px,ASP+Greyfurt,Aspartame,0.9058216273156767,0.36503027183830383,0.5136
total_distance_px,ASP+Greyfurt,Control,1.6984155512168937,0.08942935902899363,0.5136
total_distance_px,ASP+Greyfurt,Grapefruit,0.792593923901217,0.42801444993475535,0.5136
total_distance_px,Aspartame,Control,0.792593923901217,0.42801444993475535,0.5136
total_distance_px,Aspartame,Grapefruit,-0.11322770341445978,0.9098500327472845,0.9099
total_distance_px,Control,Grapefruit,-0.9058216273156767,0.36503027183830383,0.5136
successive_alternation_pct,ASP+Greyfurt,Aspartame,0.39699161097092045,0.6913736468661091,0.8804
successive_alternation_pct,ASP+Greyfurt,Control,0.3402785236893603,0.7336467888227649,0.8804
successive_alternation_pct,ASP+Greyfurt,Grapefruit,-1.417827182039001,0.15624122613529146,0.3125
successive_alternation_pct,Aspartame,Control,-0.05671308728156015,0.9547737486529704,0.9548
successive_alternation_pct,Aspartame,Grapefruit,-1.8148187930099215,0.06955176136891028,0.2362
successive_alternation_pct,Control,Grapefruit,-1.7581057057283613,0.07872952513398102,0.2362
perseveration_rate_pct,ASP+Greyfurt,Aspartame,-0.3969916109709201,0.6913736468661091,0.8804
perseveration_rate_pct,ASP+Greyfurt,Control,-0.3402785236893603,0.7336467888227649,0.8804
