target,model,cv,f1_macro,accuracy,n_classes,leakage_removed
group,LogisticReg,LOOCV,0.2,0.1667,4,False
group,LogisticReg,LOGOCV,0.0,0.0,4,False
group,RandomForest,LOOCV,0.0625,0.0833,4,False
group,RandomForest,LOGOCV,0.0,0.0,4,False
group,XGBoost,LOOCV,0.1964,0.25,4,False
group,XGBoost,LOGOCV,0.0,0.0,4,False
group,SVM,LOOCV,0.0,0.0,4,False
group,SVM,LOGOCV,0.0,0.0,4,False
group,LogReg_L1_MI8,LOOCV,0.0,0.0,4,False
group,LogReg_L1_MI8,LOGOCV,0.0,0.0,4,False
anxiety_level,LogisticReg,LOOCV,0.8333,0.8333,2,True
anxiety_level,LogisticReg,LOGOCV,0.3333,0.3333,2,True
anxiety_level,RandomForest,LOOCV,0.6667,0.6667,2,True
anxiety_level,RandomForest,LOGOCV,0.4126,0.4167,2,True
anxiety_level,XGBoost,LOOCV,0.7483,0.75,2,True
anxiety_level,XGBoost,LOGOCV,0.1667,0.1667,2,True
anxiety_level,SVM,LOOCV,0.6667,0.6667,2,True
anxiety_level,SVM,LOGOCV,0.3333,0.3333,2,True
anxiety_level,LogReg_L1_MI8,LOOCV,0.25,0.3333,2,True
anxiety_level,LogReg_L1_MI8,LOGOCV,0.2,0.25,2,True
rearing_profile,LogisticReg,LOOCV,0.2353,0.5,3,True
rearing_profile,LogisticReg,LOGOCV,0.3464,0.5833,3,True
rearing_profile,RandomForest,LOOCV,0.2353,0.5,3,True
rearing_profile,RandomForest,LOGOCV,0.3452,0.5833,3,True
rearing_profile,XGBoost,LOOCV,0.3452,0.5833,3,True
rearing_profile,XGBoost,LOGOCV,0.3856,0.6667,3,True
rearing_profile,SVM,LOOCV,0.4821,0.75,3,True
rearing_profile,SVM,LOGOCV,0.4821,0.75,3,True
rearing_profile,LogReg_L1_MI8,LOOCV,0.2456,0.5833,3,True
rearing_profile,LogReg_L1_MI8,LOGOCV,0.2456,0.5833,3,True
grooming_profile,LogisticReg,LOOCV,0.1162,0.1667,3,True
grooming_profile,LogisticReg,LOGOCV,0.2323,0.3333,3,True
grooming_profile,RandomForest,LOOCV,0.2879,0.4167,3,True
grooming_profile,RandomForest,LOGOCV,0.2646,0.4167,3,True
grooming_profile,XGBoost,LOOCV,0.4274,0.5833,3,True
grooming_profile,XGBoost,LOGOCV,0.3385,0.5,3,True
grooming_profile,SVM,LOOCV,0.0952,0.1667,3,True
grooming_profile,SVM,LOGOCV,0.1778,0.3333,3,True
grooming_profile,LogReg_L1_MI8,LOOCV,0.0,0.0,3,True
grooming_profile,LogReg_L1_MI8,LOGOCV,0.1778,0.3333,3,True
