subject_id,cohort_id,cohort,session,n_frames,n_valid_frames,session_duration_s,pct_time_bottom,pct_time_left,pct_time_right,pct_time_top,pct_time_junction,time_bottom_s,time_left_s,time_right_s,time_top_s,total_entries,bottom_entries,left_entries,right_entries,top_entries,most_visited_arm,arm_preference_index,successive_alternation_pct,tetrad_alternation_pct,perseveration_count,perseveration_rate_pct,entry_sequence,mean_speed_px_s,total_distance_px,pct_open_arm,pct_closed_arm,pct_open_arm_entries,pct_closed_arm_entries,anxiety_index_epm
PlusMazeMA1_1,MA1,Control,1,8998,8982,299.93,0.0,0.0,0.0,98.83,1.17,0.0,0.0,0.0,296.42,6,0,0,0,6,top_arm,1.0,0.0,0.0,5,100.0,T->T->T->T->T->T,11.68,3511.7,0.0,98.83,0.0,100.0,0.0
PlusMazeMA1_2,MA1,Control,2,9004,9004,300.13,87.06,0.0,0.0,5.88,7.06,261.3,0.0,0.0,17.65,4,3,0,0,1,bottom_arm,0.75,66.67,0.0,1,33.33,B->B->T->B,12.03,3609.0,0.0,92.94,0.0,100.0,0.0
PlusMazeMA1_3,MA1,Control,3,9003,8894,300.1,58.81,0.0,0.63,34.97,5.59,176.49,0.0,1.89,104.94,30,21,0,1,8,bottom_arm,0.7,27.59,0.0,21,72.41,B->B->B->B->B->B->B->B->B->T->B->B->B->B->B->T->T->T->B->B->B->T->T->T->R->T->B->B->B->B,23.21,6972.2,0.63,93.78,3.3333333333333335,96.66666666666667,1.9816666666666667
PlusMazeMA3_1,MA3,Aspartame,1,9001,9001,300.03,56.47,1.03,4.9,32.0,5.6,169.43,3.09,14.7,96.01,13,6,1,3,3,bottom_arm,0.3846,50.0,0.0,6,50.0,R->R->L->B->B->B->B->R->B->T->T->T->B,22.66,6799.1,5.930000000000001,88.47,30.76923076923077,69.23076923076923,18.349615384615387
PlusMazeMA3_2,MA3,Aspartame,2,9001,8955,300.03,11.0,0.0,0.16,84.61,4.23,33.0,0.0,0.48,253.86,17,11,0,1,5,bottom_arm,0.6471,25.0,0.0,12,75.0,R->B->B->B->B->B->B->B->T->B->B->B->B->T->T->T->T,19.75,5952.0,0.16,95.61,5.88235294117647,94.11764705882352,3.021176470588235
PlusMazeMA3_3,MA3,Aspartame,3,9004,9004,300.13,97.31,0.0,0.78,0.0,1.91,292.06,0.0,2.34,0.0,4,3,0,1,0,bottom_arm,0.75,33.33,0.0,2,66.67,R->B->B->B,16.74,5022.7,0.78,97.31,25.0,75.0,12.89
PlusMazeMA5_1,MA5,Grapefruit,1,9001,9001,300.03,87.38,0.0,0.52,10.25,1.84,262.17,0.0,1.56,30.75,5,3,0,1,1,bottom_arm,0.6,75.0,0.0,1,25.0,R->B->B->T->B,14.88,4465.0,0.52,97.63,20.0,80.0,10.26
PlusMazeMA5_2,MA5,Grapefruit,2,8998,8927,299.93,23.02,0.03,4.63,66.74,5.58,69.04,0.09,13.89,200.18,10,4,1,1,4,bottom_arm,0.3,55.56,14.29,4,44.44,R->B->L->T->T->B->B->B->T->T,20.16,6085.3,4.66,89.75999999999999,20.0,80.0,12.33
PlusMazeMA5_3,MA5,Grapefruit,3,9001,8982,300.03,24.69,0.0,4.75,68.73,1.83,74.08,0.0,14.25,206.21,9,4,0,1,4,bottom_arm,0.4444,50.0,0.0,4,50.0,R->T->T->B->T->T->B->B->B,25.22,7604.1,4.75,93.42,11.11111111111111,88.88888888888889,7.930555555555555
PlusMazeMA7_1,MA7,ASP+Greyfurt,1,8999,8993,299.97,27.47,0.0,1.93,50.45,20.15,82.4,0.0,5.79,151.33,25,8,0,3,14,top_arm,0.56,41.67,0.0,14,58.33,R->T->T->T->B->B->R->R->T->T->T->T->B->B->T->T->B->B->B->T->T->T->B->T->T,27.79,8333.3,1.93,77.92,12.0,88.0,6.965
PlusMazeMA7_2,MA7,ASP+Greyfurt,2,8998,8973,299.93,41.99,6.0,2.11,31.73,18.18,125.94,18.0,6.33,95.17,23,12,3,2,6,bottom_arm,0.4348,36.36,5.0,14,63.64,R->L->L->L->B->R->T->T->B->B->B->B->B->T->T->T->B->B->B->B->B->B->T,26.07,7815.7,8.11,73.72,21.73913043478261,78.26086956521739,14.924565217391304
PlusMazeMA7_3,MA7,ASP+Greyfurt,3,9004,9004,300.13,4.53,14.44,23.09,31.46,26.48,13.6,43.34,69.3,94.42,20,2,3,12,3,right_arm,0.5,36.84,0.0,12,63.16,R->L->R->R->L->L->T->R->R->R->R->R->R->R->R->R->T->T->B->B,16.67,5001.8,37.53,35.99,75.0,25.0,56.265
