subject_id,cohort,group,rear_count_total,rear_count_center,rear_count_wall,rear_count_unknown,rear_center_frac,rear_total_s_center,rear_total_s_wall,rear_center_minus_wall
MA3_1,MA3,Aspartame,16,1,15,0,0.0625,0.57,42.24,-14
MA3_2,MA3,Aspartame,9,1,8,0,0.1111,0.33,12.33,-7
MA3_3,MA3,Aspartame,19,2,17,0,0.1053,1.13,23.61,-15
MA4_1,MA4,Aspartame,20,0,20,0,0.0,0.0,52.57,-20
MA4_2,MA4,Aspartame,8,1,7,0,0.125,0.43,8.85,-6
MA4_3,MA4,Aspartame,16,1,15,0,0.0625,1.7,38.69,-14
MA4_4,MA4,Aspartame,20,0,20,0,0.0,0.0,35.62,-20
MA4_5,MA4,Aspartame,10,3,7,0,0.3,4.67,23.99,-4
MA7_1,MA7,Aspartame+Grapefruit,23,2,21,0,0.087,1.93,36.28,-19
MA7_2,MA7,Aspartame+Grapefruit,19,2,17,0,0.1053,1.67,29.08,-15
MA7_3,MA7,Aspartame+Grapefruit,15,1,14,0,0.0667,0.63,15.79,-13
MA8_1,MA8,Aspartame+Grapefruit,33,0,33,0,0.0,0.0,68.9,-33
MA8_2,MA8,Aspartame+Grapefruit,21,1,20,0,0.0476,0.37,29.11,-19
MA8_3,MA8,Aspartame+Grapefruit,23,4,19,0,0.1739,5.97,38.17,-15
MA8_4,MA8,Aspartame+Grapefruit,20,1,19,0,0.05,0.7,35.2,-18
MA8_5,MA8,Aspartame+Grapefruit,15,1,14,0,0.0667,0.87,26.4,-13
MA1_1,MA1,Control,7,1,6,0,0.1429,0.53,4.06,-5
MA1_2,MA1,Control,14,1,13,0,0.0714,0.4,20.8,-12
MA1_3,MA1,Control,19,5,14,0,0.2632,6.07,30.78,-9
MA2_1,MA2,Control,15,2,13,0,0.1333,3.84,23.67,-11
MA2_2,MA2,Control,24,3,20,1,0.1304,4.06,34.9,-17
MA5_1,MA5,Grapefruit,12,0,12,0,0.0,0.0,15.77,-12
MA5_2,MA5,Grapefruit,22,0,22,0,0.0,0.0,45.91,-22
MA5_3,MA5,Grapefruit,22,2,20,0,0.0909,1.6,45.2,-18
MA6_1,MA6,Grapefruit,29,0,29,0,0.0,0.0,48.46,-29
MA6_2,MA6,Grapefruit,22,5,17,0,0.2273,7.01,35.6,-12
MA6_3,MA6,Grapefruit,25,3,22,0,0.12,2.93,42.97,-19
MA6_4,MA6,Grapefruit,23,0,23,0,0.0,0.0,31.7,-23
MA6_5,MA6,Grapefruit,19,2,17,0,0.1053,4.23,41.4,-15
