subject_id,cohort,group,bout,start_s,duration_s,median_x,median_y,zone
MA3_1,MA3,Aspartame,1,5.8,0.57,697.2,235.0,center
MA3_1,MA3,Aspartame,2,17.8,3.1,703.6,241.3,center
MA3_1,MA3,Aspartame,3,37.73,0.87,476.8,200.3,center
MA3_1,MA3,Aspartame,4,39.87,1.2,440.7,263.9,center
MA3_1,MA3,Aspartame,5,44.3,0.47,444.0,438.5,center
MA3_1,MA3,Aspartame,6,49.23,3.33,455.6,453.2,center
MA3_1,MA3,Aspartame,7,54.7,4.27,455.9,469.9,center
MA3_1,MA3,Aspartame,8,59.77,2.3,474.5,479.4,center
MA3_1,MA3,Aspartame,9,79.8,3.8,723.2,219.2,center
MA3_1,MA3,Aspartame,10,85.67,0.3,723.0,225.3,center
MA3_1,MA3,Aspartame,11,120.0,0.87,575.9,189.9,center
MA3_1,MA3,Aspartame,12,122.8,2.5,545.7,182.7,center
MA3_1,MA3,Aspartame,13,125.9,4.33,449.9,179.7,wall
MA3_1,MA3,Aspartame,14,131.53,10.67,462.3,200.1,center
MA3_1,MA3,Aspartame,15,149.63,2.93,462.1,207.4,center
MA3_1,MA3,Aspartame,16,156.1,1.3,711.4,176.9,wall
MA3_2,MA3,Aspartame,1,16.87,0.33,681.5,321.5,center
MA3_2,MA3,Aspartame,2,20.17,1.1,717.8,279.6,center
MA3_2,MA3,Aspartame,3,23.1,0.33,664.7,228.6,center
MA3_2,MA3,Aspartame,4,96.93,1.6,453.8,392.5,center
MA3_2,MA3,Aspartame,5,102.47,2.4,430.1,246.1,center
MA3_2,MA3,Aspartame,6,122.7,2.4,698.5,218.0,center
MA3_2,MA3,Aspartame,7,138.97,1.8,423.0,465.8,center
MA3_2,MA3,Aspartame,8,155.07,1.2,517.7,494.2,center
MA3_2,MA3,Aspartame,9,164.6,1.5,454.9,446.5,center
MA3_3,MA3,Aspartame,1,6.23,2.0,480.3,489.3,center
MA3_3,MA3,Aspartame,2,10.0,0.37,465.5,482.5,center
MA3_3,MA3,Aspartame,3,13.77,1.37,482.9,487.0,center
MA3_3,MA3,Aspartame,4,22.87,0.63,433.7,323.3,center
MA3_3,MA3,Aspartame,5,29.2,2.83,706.5,489.4,center
MA3_3,MA3,Aspartame,6,54.4,0.63,533.4,451.4,center
MA3_3,MA3,Aspartame,7,64.2,0.5,537.6,456.0,center
MA3_3,MA3,Aspartame,8,71.77,1.47,467.8,496.0,center
MA3_3,MA3,Aspartame,9,74.13,2.47,467.5,500.1,center
MA3_3,MA3,Aspartame,10,83.93,2.3,427.3,461.7,center
MA3_3,MA3,Aspartame,11,92.77,0.33,432.6,456.8,center
MA3_3,MA3,Aspartame,12,102.83,0.73,422.4,298.3,center
MA3_3,MA3,Aspartame,13,105.1,3.87,425.6,220.4,center
MA3_3,MA3,Aspartame,14,121.9,0.37,700.0,230.5,center
MA3_3,MA3,Aspartame,15,132.97,0.8,738.2,309.6,center
MA3_3,MA3,Aspartame,16,136.67,0.8,744.1,453.3,center
MA3_3,MA3,Aspartame,17,138.27,1.5,741.2,480.0,center
MA3_3,MA3,Aspartame,18,146.57,1.47,738.8,476.8,center
MA3_3,MA3,Aspartame,19,159.0,0.3,430.4,230.5,center
