n_valid,mean_speed_px_s,median_speed_px_s,sd_speed_px_s,max_speed_px_s,p95_speed_px_s,subject_id,cohort,group,n_frames,session_s,sd_speed_raw_px_s,sd_speed_filt_px_s,sd_reduction_pct
5116,33.171,22.587,36.092,460.961,99.396,MA7_1,MA7,Aspartame+Grapefruit,5116,170.5,81.887,36.092,55.9
5311,39.003,24.178,40.863,215.377,124.844,MA7_2,MA7,Aspartame+Grapefruit,5311,177.0,56.434,40.863,27.6
5297,32.749,21.755,33.109,189.27,102.225,MA7_3,MA7,Aspartame+Grapefruit,5297,176.6,49.563,33.109,33.2
5365,13.436,6.498,21.911,330.28,53.103,MA8_1,MA8,Aspartame+Grapefruit,5365,178.8,56.479,21.911,61.2
5327,32.725,19.792,37.124,214.782,116.649,MA8_2,MA8,Aspartame+Grapefruit,5327,177.6,88.529,37.124,58.1
5298,29.203,19.635,30.718,321.167,93.126,MA8_3,MA8,Aspartame+Grapefruit,5298,176.6,136.194,30.718,77.4
5195,40.585,21.845,48.461,272.835,156.661,MA8_4,MA8,Aspartame+Grapefruit,5195,173.2,93.352,48.461,48.1
5143,27.919,14.137,43.89,698.908,100.003,MA8_5,MA8,Aspartame+Grapefruit,5143,171.4,129.352,43.89,66.1
5243,25.379,12.255,36.153,298.261,96.267,MA3_1,MA3,Aspartame,5243,174.8,178.604,36.153,79.8
5041,26.874,18.351,29.899,381.782,81.28,MA3_2,MA3,Aspartame,5041,168.0,61.822,29.899,51.6
4803,26.362,15.021,31.274,260.033,84.967,MA3_3,MA3,Aspartame,4803,160.1,55.455,31.274,43.6
5234,32.246,22.614,32.323,332.539,101.28,MA4_1,MA4,Aspartame,5234,174.5,53.371,32.323,39.4
5328,20.885,12.537,25.013,187.303,69.384,MA4_2,MA4,Aspartame,5328,177.6,63.81,25.013,60.8
4788,30.387,18.783,37.656,501.588,99.289,MA4_3,MA4,Aspartame,4788,159.6,105.831,37.656,64.4
5143,41.784,26.878,40.958,267.098,133.674,MA4_4,MA4,Aspartame,5143,171.4,76.618,40.958,46.5
5226,27.059,17.037,29.636,183.061,88.367,MA4_5,MA4,Aspartame,5226,174.2,111.666,29.636,73.5
5380,13.707,3.357,23.162,185.065,61.376,MA5_1,MA5,Grapefruit,5380,179.3,30.589,23.162,24.3
5335,34.36,20.335,38.157,214.07,124.069,MA5_2,MA5,Grapefruit,5335,177.8,51.246,38.157,25.5
5306,40.201,25.241,41.322,267.127,121.569,MA5_3,MA5,Grapefruit,5306,176.9,53.749,41.322,23.1
5081,50.996,24.456,66.397,691.109,184.666,MA6_1,MA6,Grapefruit,5081,169.4,143.45,66.397,53.7
5286,41.168,27.696,38.867,219.762,122.08,MA6_2,MA6,Grapefruit,5286,176.2,59.724,38.867,34.9
5337,38.428,24.265,39.951,222.782,126.52,MA6_3,MA6,Grapefruit,5337,177.9,101.415,39.951,60.6
5294,30.91,18.847,35.709,243.137,110.111,MA6_4,MA6,Grapefruit,5294,176.5,157.48,35.709,77.3
5275,40.431,23.812,46.417,310.78,139.487,MA6_5,MA6,Grapefruit,5275,175.8,73.276,46.417,36.7
5332,15.084,4.207,29.085,344.168,69.799,MA1_1,MA1,Control,5332,177.7,36.655,29.085,20.7
5068,20.09,5.026,35.075,231.274,91.534,MA1_2,MA1,Control,5068,168.9,53.947,35.075,35.0
5082,33.344,20.489,40.936,275.401,118.806,MA1_3,MA1,Control,5082,169.4,58.936,40.936,30.5
5157,26.589,20.046,24.51,167.587,75.967,MA2_1,MA2,Control,5157,171.9,218.899,24.51,88.8
5045,45.131,24.933,55.697,461.832,165.923,MA2_2,MA2,Control,5045,168.2,145.371,55.697,61.7
