feature,H,p_value,eta2,significant
rear_count,8.028,0.0454,0.201,True
rear_rate_per_min,6.863,0.0764,0.155,False
rear_early_frac,6.252,0.1,0.13,False
total_distance_px,5.341,0.1484,0.094,False
rear_total_s,5.209,0.1571,0.088,False
rear_pct,4.929,0.177,0.077,False
groom_count,4.314,0.2295,0.053,False
mean_speed_px_s,3.918,0.2705,0.037,False
pct_periphery,3.751,0.2897,0.03,False
pct_center,3.751,0.2897,0.03,False
groom_early_frac,3.586,0.3098,0.023,False
spatial_entropy,3.27,0.3519,0.011,False
comfort_ratio,2.923,0.4036,0.0,False
groom_mean_bout_s,2.461,0.4823,0.0,False
rear_mean_bout_s,2.061,0.5598,0.0,False
rear_per_100px,1.918,0.5896,0.0,False
rear_groom_ratio,1.704,0.636,0.0,False
center_entries,1.499,0.6826,0.0,False
freeze_bout_count,0.903,0.8248,0.0,False
pct_freeze,0.901,0.8251,0.0,False
groom_total_s,0.868,0.8332,0.0,False
groom_pct,0.744,0.8628,0.0,False
groom_bout_cv,0.199,0.9778,0.0,False
