feature,group_a,group_b,z,p_two_sided,p_bh_within_feature
total_distance_px,Aspartame,Aspartame+Grapefruit,-0.9689,0.3326,0.4989
total_distance_px,Aspartame,Control,-0.4378,0.6616,0.6803
total_distance_px,Aspartame,Grapefruit,-2.2314,0.0257,0.1539
total_distance_px,Aspartame+Grapefruit,Control,0.4120,0.6803,0.6803
total_distance_px,Aspartame+Grapefruit,Grapefruit,-1.2625,0.2068,0.4135
total_distance_px,Control,Grapefruit,-1.5193,0.1287,0.3860
mean_speed_px_s,Aspartame,Aspartame+Grapefruit,-0.8221,0.4110,0.5689
mean_speed_px_s,Aspartame,Control,-0.7159,0.4741,0.5689
mean_speed_px_s,Aspartame,Grapefruit,-1.9672,0.0492,0.2950
mean_speed_px_s,Aspartame+Grapefruit,Control,0.0052,0.9959,0.9959
mean_speed_px_s,Aspartame+Grapefruit,Grapefruit,-1.1451,0.2522,0.5689
mean_speed_px_s,Control,Grapefruit,-1.0095,0.3128,0.5689
max_speed_px_s,Aspartame,Aspartame+Grapefruit,-0.0587,0.9532,0.9795
max_speed_px_s,Aspartame,Control,0.0258,0.9795,0.9795
max_speed_px_s,Aspartame,Grapefruit,-0.7047,0.4810,0.9795
max_speed_px_s,Aspartame+Grapefruit,Control,0.0773,0.9384,0.9795
max_speed_px_s,Aspartame+Grapefruit,Grapefruit,-0.6459,0.5183,0.9795
max_speed_px_s,Control,Grapefruit,-0.6438,0.5197,0.9795
pct_time_center,Aspartame,Aspartame+Grapefruit,0.4404,0.6596,0.6596
pct_time_center,Aspartame,Control,-0.6129,0.5400,0.6479
pct_time_center,Aspartame,Grapefruit,1.3800,0.1676,0.5028
pct_time_center,Aspartame+Grapefruit,Control,-0.9992,0.3177,0.5212
pct_time_center,Aspartame+Grapefruit,Grapefruit,0.9396,0.3474,0.5212
pct_time_center,Control,Grapefruit,1.8232,0.0683,0.4096
pct_time_periphery,Aspartame,Aspartame+Grapefruit,-0.4404,0.6596,0.6596
