feature,group_a,group_b,z,p_two_sided,p_bh_within_feature
pct_open_arm,ASP+Greyfurt,Aspartame,1.7373114143901616,0.08233221787677625,0.1409
pct_open_arm,ASP+Greyfurt,Control,3.142443773702593,0.001675438884541025,0.0101
pct_open_arm,ASP+Greyfurt,Grapefruit,1.654582299419201,0.09800925645955028,0.1409
pct_open_arm,Aspartame,Control,1.565859354814261,0.1173815470558417,0.1409
pct_open_arm,Aspartame,Grapefruit,-0.0827291149709605,0.9340669338201004,0.9341
pct_open_arm,Control,Grapefruit,-1.6409348033327535,0.10081094953293546,0.1409
pct_open_arm_entries,ASP+Greyfurt,Aspartame,0.7761389812587784,0.43766692954828246,0.5252
pct_open_arm_entries,ASP+Greyfurt,Control,2.600001046074134,0.009322347629890482,0.0559
pct_open_arm_entries,ASP+Greyfurt,Grapefruit,0.8175330602592464,0.4136238641742347,0.5252
pct_open_arm_entries,Aspartame,Control,1.8956663973698407,0.05800417133259539,0.1263
pct_open_arm_entries,Aspartame,Grapefruit,0.041394079000468036,0.9669817330264527,0.967
pct_open_arm_entries,Control,Grapefruit,-1.8581018827722784,0.06315454752976746,0.1263
anxiety_index_epm,ASP+Greyfurt,Aspartame,1.1582076095934404,0.2467793236915936,0.3702
anxiety_index_epm,ASP+Greyfurt,Control,2.9735240145359856,0.0029440136851341947,0.0177
anxiety_index_epm,ASP+Greyfurt,Grapefruit,0.9100202646805603,0.3628118227742523,0.4354
anxiety_index_epm,Aspartame,Control,1.9224677352770985,0.05454692965154484,0.1091
anxiety_index_epm,Aspartame,Grapefruit,-0.24818734491288,0.8039894573927691,0.804
anxiety_index_epm,Control,Grapefruit,-2.1476940808325744,0.03173806590666506,0.0952
total_entries,ASP+Greyfurt,Aspartame,1.9337930624461914,0.05313857612013795,0.1594
total_entries,ASP+Greyfurt,Control,1.5846282169438843,0.11305083002192884,0.2261
total_entries,ASP+Greyfurt,Grapefruit,2.4301677522719514,0.015091835889419425,0.0906
total_entries,Aspartame,Control,-0.17026039217586597,0.8648053588750628,0.8648
total_entries,Aspartame,Grapefruit,0.49637468982576,0.6196300788486191,0.7436
total_entries,Control,Grapefruit,0.6207130832868176,0.5347884195803512,0.7436
mean_speed_px_s,ASP+Greyfurt,Aspartame,0.8263099002245486,0.40862831886996664,0.9466
mean_speed_px_s,ASP+Greyfurt,Control,0.29191134900279564,0.7703544059836964,0.9466
mean_speed_px_s,ASP+Greyfurt,Grapefruit,0.24789297006736447,0.8042172192561075,0.9466
mean_speed_px_s,Aspartame,Control,-0.4579526667842024,0.6469864477028437,0.9466
mean_speed_px_s,Aspartame,Grapefruit,-0.5784169301571842,0.5629826664081314,0.9466
mean_speed_px_s,Control,Grapefruit,-0.06695214426669635,0.9466198010072429,0.9466
total_distance_px,ASP+Greyfurt,Aspartame,0.9295986377526173,0.352578933030091,0.8564
total_distance_px,ASP+Greyfurt,Control,0.3668977505814958,0.7136952894031363,0.8564
total_distance_px,ASP+Greyfurt,Grapefruit,0.39249720260666104,0.6946908778764886,0.8564
total_distance_px,Aspartame,Control,-0.47669926717887695,0.633576284784676,0.8564
total_distance_px,Aspartame,Grapefruit,-0.5371014351459562,0.5911975495325197,0.8564
total_distance_px,Control,Grapefruit,-0.010712343082671362,0.9914529503130682,0.9915
successive_alternation_pct,ASP+Greyfurt,Aspartame,-1.147457515941451,0.25119258189853344,0.6122
successive_alternation_pct,ASP+Greyfurt,Control,0.30957589217697135,0.7568834914913711,0.9013
successive_alternation_pct,ASP+Greyfurt,Grapefruit,-0.12404946118285984,0.9012761131077793,0.9013
successive_alternation_pct,Aspartame,Control,1.3508766204086031,0.17673495863502975,0.6122
successive_alternation_pct,Aspartame,Grapefruit,1.023408054758591,0.30611495259275845,0.6122
successive_alternation_pct,Control,Grapefruit,-0.42214894387768853,0.6729163051653906,0.9013
perseveration_rate_pct,ASP+Greyfurt,Aspartame,1.147457515941451,0.25119258189853344,0.6122
perseveration_rate_pct,ASP+Greyfurt,Control,-0.30957589217697135,0.7568834914913711,0.9013
perseveration_rate_pct,ASP+Greyfurt,Grapefruit,0.12404946118285984,0.9012761131077793,0.9013
perseveration_rate_pct,Aspartame,Control,-1.3508766204086031,0.17673495863502975,0.6122
perseveration_rate_pct,Aspartame,Grapefruit,-1.023408054758591,0.30611495259275845,0.6122
perseveration_rate_pct,Control,Grapefruit,0.42214894387768853,0.6729163051653906,0.9013
arm_preference_index,ASP+Greyfurt,Aspartame,0.7342645197929268,0.4627875374695587,0.5629
arm_preference_index,ASP+Greyfurt,Control,-1.808621384047666,0.0705098440063272,0.141
arm_preference_index,ASP+Greyfurt,Grapefruit,0.010341753799899794,0.9917486213950955,0.9917
arm_preference_index,Aspartame,Control,-2.4749555781704897,0.01332527487128976,0.08
arm_preference_index,Aspartame,Grapefruit,-0.7239227659930271,0.46911315243545393,0.5629
arm_preference_index,Control,Grapefruit,1.8180063726972826,0.0690631587717383,0.141
pct_time_left,ASP+Greyfurt,Aspartame,2.466399128237635,0.01364791630097062,0.0409
pct_time_left,ASP+Greyfurt,Control,2.62092169339555,0.008769240196049521,0.0409
pct_time_left,ASP+Greyfurt,Grapefruit,0.9967830673706509,0.3188698189683774,0.3826
pct_time_left,Aspartame,Control,0.3827009552303237,0.7019415061102992,0.7019
pct_time_left,Aspartame,Grapefruit,-1.4696160608669842,0.14166576791660512,0.2125
pct_time_left,Control,Grapefruit,-1.7163557992147844,0.0860969412897028,0.1722
pct_time_right,ASP+Greyfurt,Aspartame,1.2927192249875477,0.19610818609418734,0.2353
pct_time_right,ASP+Greyfurt,Control,2.9120279067098074,0.00359090552240815,0.0215
pct_time_right,ASP+Greyfurt,Grapefruit,1.6650223617839615,0.09590829456470917,0.1918
pct_time_right,Aspartame,Control,1.738904325507652,0.08205159326083433,0.1918
pct_time_right,Aspartame,Grapefruit,0.37230313679641386,0.7096671634010967,0.7097
pct_time_right,Control,Grapefruit,-1.4010447341214312,0.16120069642047818,0.2353
pct_time_top,ASP+Greyfurt,Aspartame,1.0851751158424499,0.2778441032541663,0.5557
pct_time_top,ASP+Greyfurt,Control,-0.6766178060030282,0.49864847864519257,0.7346
pct_time_top,ASP+Greyfurt,Grapefruit,-0.37206003971741153,0.7098481476389051,0.7346
pct_time_top,Aspartame,Control,-1.6613981771163464,0.0966335036715571,0.4352
pct_time_top,Aspartame,Grapefruit,-1.4572351555598613,0.14505147941044205,0.4352
pct_time_top,Control,Grapefruit,0.33897882162131904,0.7346256845292523,0.7346
pct_time_bottom,ASP+Greyfurt,Aspartame,-1.7579936931329012,0.07874858244102811,0.4677
pct_time_bottom,ASP+Greyfurt,Control,-0.4048711687961534,0.6855722120138581,0.8227
pct_time_bottom,ASP+Greyfurt,Grapefruit,-0.45501013234028015,0.6491019494000223,0.8227
pct_time_bottom,Aspartame,Control,1.1904821122218012,0.23385695653094163,0.4677
pct_time_bottom,Aspartame,Grapefruit,1.302983560792621,0.19258037399671002,0.4677
pct_time_bottom,Control,Grapefruit,-0.00804379805555235,0.9935820469311349,0.9936
pct_time_junction,ASP+Greyfurt,Aspartame,0.49578594013472965,0.6200454456204865,0.7441
pct_time_junction,ASP+Greyfurt,Control,0.7552201873283337,0.4501168779285625,0.6752
pct_time_junction,ASP+Greyfurt,Grapefruit,1.6732775479547115,0.09427267027091313,0.5656
pct_time_junction,Aspartame,Control,0.3053017778561345,0.7601363220031472,0.7601
pct_time_junction,Aspartame,Grapefruit,1.1774916078199817,0.23899934518533228,0.6752
pct_time_junction,Control,Grapefruit,0.7632544446403375,0.4453116646872388,0.6752
