feature,H,p_asymptotic,p_permutation,epsilon_sq,effect_size_label,q_bh
pct_open_arm,10.0159,0.0184,0.0146,0.2126,small,0.1011
pct_time_left,9.5696,0.0226,0.0159,0.1991,small,0.1011
anxiety_index_epm,9.0859,0.0282,0.0245,0.1844,small,0.1011
pct_time_right,8.6641,0.0341,0.0289,0.1716,small,0.1011
pct_open_arm_entries,7.0312,0.0709,0.0657,0.1222,small,0.1698
total_entries,6.6909,0.0824,0.0762,0.1118,small,0.1698
arm_preference_index,6.4107,0.0933,0.0849,0.1034,small,0.1698
pct_time_bottom,3.4267,0.3304,0.3409,0.0129,negligible,0.5343
pct_time_top,3.3906,0.3352,0.3435,0.0118,negligible,0.5343
pct_time_junction,2.9683,0.3965,0.3962,-0.001,negligible,0.5547
perseveration_rate_pct,2.2505,0.5221,0.5305,-0.0227,negligible,0.6271
successive_alternation_pct,2.2505,0.5221,0.5375,-0.0227,negligible,0.6271
total_distance_px,0.8726,0.832,0.8432,-0.0645,negligible,0.8735
mean_speed_px_s,0.7207,0.8683,0.8735,-0.0691,negligible,0.8735
