feature,H,p_asymptotic,p_permutation,epsilon_sq,effect_size_label,q_bh
rear_bout_count,8.0278,0.0454,0.0372,0.2011,large,0.5951
total_distance_px,5.3414,0.1484,0.1487,0.0937,medium,0.6115
rear_total_s,5.2086,0.1571,0.1537,0.0883,medium,0.6115
rear_pct_time,4.9293,0.1770,0.1761,0.0772,medium,0.6115
groom_bout_count,4.3137,0.2295,0.2366,0.0525,small,0.6115
mean_speed_px_s,3.9179,0.2705,0.2901,0.0367,small,0.6115
pct_time_center,3.7507,0.2897,0.3028,0.0300,small,0.6115
pct_time_periphery,3.7507,0.2897,0.3058,0.0300,small,0.6115
spatial_entropy_norm,3.2697,0.3519,0.3587,0.0108,small,0.6376
center_zone_entries,1.4986,0.6826,0.7001,-0.0601,negligible,0.8828
pct_time_freeze,0.9013,0.8251,0.8388,-0.0839,negligible,0.8828
freeze_bout_count,0.9027,0.8248,0.8398,-0.0839,negligible,0.8828
groom_total_s,0.8679,0.8332,0.8415,-0.0853,negligible,0.8828
total_freeze_s,0.8224,0.8441,0.8508,-0.0871,negligible,0.8828
groom_pct_time,0.7441,0.8628,0.8738,-0.0902,negligible,0.8828
max_speed_px_s,0.6948,0.8744,0.8828,-0.0922,negligible,0.8828
