metrik,madde,kontrol_ort,madde_ort,pct_degisim,cohens_d,etki_buyuklugu,yon
Açık Kol Süresi % (EPM),Aspartame,0.21,2.29,990.5,0.92,büyük,anksiyolitik ↓
Açık Kol Süresi % (EPM),Grapefruit,0.21,3.31,1476.2,1.79,çok büyük,anksiyolitik ↓
Açık Kol Süresi % (EPM),ASP+Greyfurt,0.21,15.86,7450.8,1.16,büyük,anksiyolitik ↓
Açık Kol Girişi % (EPM),Aspartame,1.11,20.55,1749.5,2.09,çok büyük,anksiyolitik ↓
Açık Kol Girişi % (EPM),Grapefruit,1.11,17.04,1433.3,4.11,çok büyük,anksiyolitik ↓
Açık Kol Girişi % (EPM),ASP+Greyfurt,1.11,36.25,3162.2,1.46,çok büyük,anksiyolitik ↓
Anksiyete İndeksi (EPM),Aspartame,0.66,11.42,1628.9,1.94,çok büyük,anksiyolitik ↓
Anksiyete İndeksi (EPM),Grapefruit,0.66,10.17,1440.1,5.42,çok büyük,anksiyolitik ↓
Anksiyete İndeksi (EPM),ASP+Greyfurt,0.66,26.05,3843.9,1.36,büyük,anksiyolitik ↓
Donma Süresi % (OFT),Aspartame,18.56,6.0,-67.7,-2.01,çok büyük,anksiyolitik ↓
Donma Süresi % (OFT),Grapefruit,18.56,9.68,-47.8,-0.84,büyük,anksiyolitik ↓
Donma Süresi % (OFT),ASP+Greyfurt,18.56,6.13,-67.0,-1.94,çok büyük,anksiyolitik ↓
Merkez Zamanı % (OFT),Aspartame,40.11,17.5,-56.4,-0.69,orta,anksiyojenik ↑
Merkez Zamanı % (OFT),Grapefruit,40.11,6.99,-82.6,-1.05,büyük,anksiyojenik ↑
Merkez Zamanı % (OFT),ASP+Greyfurt,40.11,30.76,-23.3,-0.29,küçük,anksiyojenik ↑
Çevre Zamanı % (OFT),Aspartame,59.89,82.5,37.8,0.69,orta,anksiyojenik ↑
Çevre Zamanı % (OFT),Grapefruit,59.89,93.01,55.3,1.05,büyük,anksiyojenik ↑
Çevre Zamanı % (OFT),ASP+Greyfurt,59.89,69.24,15.6,0.29,küçük,anksiyojenik ↑
Toplam Mesafe (OFT),Aspartame,4449.5,4981.9,12.0,0.43,küçük,anksiyolitik ↓
Toplam Mesafe (OFT),Grapefruit,4449.5,5960.4,34.0,0.68,orta,anksiyolitik ↓
Toplam Mesafe (OFT),ASP+Greyfurt,4449.5,6949.13,56.2,1.84,çok büyük,anksiyolitik ↓
Ortalama Hız (OFT),Aspartame,26.45,29.75,12.5,0.42,küçük,anksiyolitik ↓
Ortalama Hız (OFT),Grapefruit,26.45,33.62,27.1,0.54,orta,anksiyolitik ↓
Ortalama Hız (OFT),ASP+Greyfurt,26.45,39.86,50.7,1.6,çok büyük,anksiyolitik ↓
Rearing % (OFT),Aspartame,12.29,15.83,28.7,0.39,küçük,anksiyolitik ↓
Rearing % (OFT),Grapefruit,12.29,20.36,65.6,0.82,büyük,anksiyolitik ↓
Rearing % (OFT),ASP+Greyfurt,12.29,16.36,33.1,0.49,küçük,anksiyolitik ↓
Grooming % (OFT),Aspartame,13.27,10.43,-21.4,-0.32,küçük,↓
Grooming % (OFT),Grapefruit,13.27,20.44,54.0,0.47,küçük,↑
Grooming % (OFT),ASP+Greyfurt,13.27,11.28,-15.0,-0.2,küçük,↓
