subject_id,cohort,true_label,pred_label,prob_treated,correct
PlusMazeMA1_1,Control,Control,Control,0.2614,True
PlusMazeMA1_2,Control,Control,Treated,0.8115,False
PlusMazeMA1_3,Control,Control,Control,0.3682,True
PlusMazeMA1_4,Control,Control,Control,0.1578,True
PlusMazeMA1_5,Control,Control,Control,0.1589,True
PlusMazeMA2_1,Control,Control,Treated,0.6272,False
PlusMazeMA2_2,Control,Control,Treated,0.7203,False
PlusMazeMA3_1,Aspartame,Treated,Treated,0.9609,True
PlusMazeMA3_2,Aspartame,Treated,Control,0.3157,False
PlusMazeMA3_3,Aspartame,Treated,Treated,0.6292,True
PlusMazeMA3_4,Aspartame,Treated,Treated,0.6045,True
PlusMazeMA3_5,Aspartame,Treated,Treated,0.671,True
PlusMazeMA4_1,Aspartame,Treated,Treated,0.961,True
PlusMazeMA4_2,Aspartame,Treated,Treated,0.5028,True
PlusMazeMA4_3,Aspartame,Treated,Control,0.234,False
PlusMazeMA4_4,Aspartame,Treated,Treated,0.9256,True
PlusMazeMA4_5,Aspartame,Treated,Treated,0.7535,True
PlusMazeMA5_1,Grapefruit,Treated,Treated,0.5957,True
PlusMazeMA5_2,Grapefruit,Treated,Treated,0.9343,True
PlusMazeMA5_3,Grapefruit,Treated,Treated,0.7508,True
PlusMazeMA5_4,Grapefruit,Treated,Treated,0.8057,True
PlusMazeMA5_5,Grapefruit,Treated,Control,0.0565,False
PlusMazeMA6_1,Grapefruit,Treated,Control,0.3899,False
PlusMazeMA6_2,Grapefruit,Treated,Treated,0.8263,True
PlusMazeMA6_3,Grapefruit,Treated,Treated,0.971,True
PlusMazeMA6_4,Grapefruit,Treated,Treated,0.9631,True
PlusMazeMA6_5,Grapefruit,Treated,Control,0.0568,False
PlusMazeMA7_1,ASP+Greyfurt,Treated,Treated,0.5759,True
PlusMazeMA7_2,ASP+Greyfurt,Treated,Treated,0.9649,True
PlusMazeMA7_3,ASP+Greyfurt,Treated,Treated,1.0,True
PlusMazeMA7_4,ASP+Greyfurt,Treated,Treated,0.7472,True
PlusMazeMA7_5,ASP+Greyfurt,Treated,Treated,0.9244,True
PlusMazeMA8_1,ASP+Greyfurt,Treated,Treated,0.5194,True
PlusMazeMA8_2,ASP+Greyfurt,Treated,Treated,0.8094,True
PlusMazeMA8_3,ASP+Greyfurt,Treated,Control,0.4755,False
PlusMazeMA8_4,ASP+Greyfurt,Treated,Control,0.3737,False
PlusMazeMA8_5,ASP+Greyfurt,Treated,Treated,0.8847,True
