subject_id,cohort,n_frames,session_s,has_rearing,groom_bout_count,groom_total_s,groom_pct_time,groom_mean_s,groom_max_s,groom_frag_idx,rear_bout_count,rear_total_s,rear_pct_time,rear_mean_s,rear_max_s,rear_frag_idx,sap_bout_count,sap_total_s,sap_pct_time,sap_mean_s,sap_max_s,sap_frag_idx,groom_signal_pct,sap_signal_pct
MA7_1,ASP+Greyfurt,8999,300.0,True,66,111.9,37.3,1.7,9.8,0.59,17,23.67,7.89,1.39,3.97,0.718,14,14.47,4.82,1.03,1.57,0.968,30.9,4.22
MA7_2,ASP+Greyfurt,8998,299.9,True,68,150.97,50.33,2.22,18.17,0.45,18,25.47,8.49,1.41,4.17,0.707,12,14.5,4.83,1.21,2.8,0.828,40.18,4.86
MA7_3,ASP+Greyfurt,9004,300.1,True,64,138.03,45.99,2.16,17.87,0.464,3,3.3,1.1,1.1,1.53,0.909,25,32.43,10.81,1.3,4.17,0.771,36.67,8.21
MA7_4,ASP+Greyfurt,9056,301.9,True,60,122.33,40.53,2.04,10.57,0.49,34,53.5,17.72,1.57,4.7,0.636,20,20.97,6.95,1.05,3.4,0.954,35.5,6.56
MA7_5,ASP+Greyfurt,9005,300.2,True,67,100.03,33.33,1.49,7.2,0.67,31,41.63,13.87,1.34,4.53,0.745,2,1.77,0.59,0.88,1.27,1.132,29.04,1.63
MA8_1,ASP+Greyfurt,9008,300.3,True,55,168.27,56.04,3.06,18.33,0.327,25,42.5,14.15,1.7,5.4,0.588,17,21.8,7.26,1.28,4.43,0.78,53.86,7.25
MA8_2,ASP+Greyfurt,9007,300.2,True,70,138.43,46.11,1.98,8.77,0.506,37,63.83,21.26,1.73,6.9,0.58,16,15.27,5.08,0.95,1.97,1.048,43.19,5.25
MA8_3,ASP+Greyfurt,9044,301.5,True,59,195.47,64.84,3.31,22.03,0.302,23,69.87,23.18,3.04,10.07,0.329,17,19.83,6.58,1.17,2.87,0.857,58.86,7.63
MA8_4,ASP+Greyfurt,9016,300.5,True,89,156.07,51.93,1.75,7.73,0.57,28,35.9,11.95,1.28,3.97,0.78,13,13.8,4.59,1.06,2.7,0.942,42.48,4.84
MA8_5,ASP+Greyfurt,9002,300.1,True,27,26.77,8.92,0.99,4.63,1.009,48,80.9,26.96,1.69,5.47,0.593,4,2.17,0.72,0.54,0.63,1.846,12.23,1.43
MA3_1,Aspartame,9001,300.0,True,62,164.4,54.79,2.65,23.03,0.377,17,30.4,10.13,1.79,5.9,0.559,19,21.4,7.13,1.13,3.43,0.888,45.88,6.62
MA3_2,Aspartame,9001,300.0,True,68,175.33,58.44,2.58,20.63,0.388,16,21.97,7.32,1.37,3.33,0.728,5,8.1,2.7,1.62,4.13,0.617,46.89,2.51
MA3_3,Aspartame,9004,300.1,True,58,139.17,46.37,2.4,17.03,0.417,18,30.47,10.15,1.69,4.2,0.591,26,36.07,12.02,1.39,4.6,0.721,39.22,8.19
MA3_4,Aspartame,9031,301.0,True,48,97.67,32.44,2.03,12.33,0.491,30,51.77,17.2,1.73,16.67,0.58,15,20.27,6.73,1.35,4.57,0.74,32.18,7.53
MA3_5,Aspartame,9042,301.4,True,71,166.97,55.4,2.35,11.67,0.425,23,23.3,7.73,1.01,2.43,0.987,10,15.4,5.11,1.54,4.53,0.649,45.07,5.92
MA4_1,Aspartame,9180,306.0,True,79,163.4,53.4,2.07,17.43,0.483,22,25.27,8.26,1.15,2.1,0.871,11,13.63,4.46,1.24,2.77,0.807,47.88,5.25
MA4_2,Aspartame,9008,300.3,True,65,184.57,61.47,2.84,28.5,0.352,39,55.97,18.64,1.44,7.73,0.697,12,10.77,3.59,0.9,1.83,1.115,50.94,3.56
MA4_3,Aspartame,8980,299.3,True,64,81.03,27.07,1.27,6.1,0.79,40,52.53,17.55,1.31,4.27,0.761,9,9.37,3.13,1.04,1.87,0.961,27.66,3.98
MA4_4,Aspartame,9047,301.6,True,80,196.0,64.99,2.45,12.17,0.408,24,31.83,10.56,1.33,2.6,0.754,26,37.63,12.48,1.45,6.17,0.691,59.46,11.64
MA4_5,Aspartame,9023,300.8,True,86,179.9,59.81,2.09,13.97,0.478,20,22.87,7.6,1.14,2.6,0.875,18,21.6,7.18,1.2,2.87,0.833,53.24,8.1
MA1_1,Control,8998,299.9,True,52,172.87,57.64,3.32,21.63,0.301,5,8.57,2.86,1.71,3.5,0.584,7,14.63,4.88,2.09,6.93,0.478,48.26,3.7
MA1_2,Control,9004,300.1,True,28,236.7,78.86,8.45,122.9,0.118,6,14.33,4.78,2.39,4.63,0.419,5,5.8,1.93,1.16,1.7,0.862,71.78,1.84
MA1_3,Control,9003,300.1,True,65,136.13,45.36,2.09,14.0,0.477,22,27.6,9.2,1.25,4.57,0.797,12,11.7,3.9,0.98,3.67,1.026,40.76,4.68
MA1_4,Control,9308,310.3,True,63,88.07,28.38,1.4,7.67,0.715,55,95.47,30.77,1.74,12.23,0.576,10,13.57,4.37,1.36,3.1,0.737,28.34,4.03
MA1_5,Control,8992,299.7,True,50,94.67,31.58,1.89,11.23,0.528,45,94.77,31.62,2.11,7.5,0.475,6,11.7,3.9,1.95,3.23,0.513,32.0,3.89
MA2_1,Control,9064,302.1,True,33,45.8,15.16,1.39,7.07,0.721,57,101.3,33.53,1.78,11.0,0.563,6,4.37,1.45,0.73,0.93,1.374,18.44,2.12
MA2_2,Control,9181,306.0,True,68,95.07,31.06,1.4,6.07,0.715,49,115.13,37.62,2.35,21.93,0.426,8,11.3,3.69,1.41,3.47,0.708,29.76,3.55
MA5_1,Grapefruit,9001,300.0,True,45,206.67,68.88,4.59,37.8,0.218,12,20.33,6.78,1.69,4.13,0.59,6,8.0,2.67,1.33,3.8,0.75,56.09,2.59
MA5_2,Grapefruit,8998,299.9,True,62,165.67,55.23,2.67,32.57,0.374,21,32.97,10.99,1.57,5.2,0.637,13,15.53,5.18,1.19,2.83,0.837,46.18,4.89
MA5_3,Grapefruit,9001,300.0,True,67,116.13,38.71,1.73,8.3,0.577,25,31.1,10.37,1.24,6.03,0.804,25,45.27,15.09,1.81,8.33,0.552,31.56,12.28
MA5_4,Grapefruit,9059,302.0,True,47,230.8,76.43,4.91,34.77,0.204,6,8.8,2.91,1.47,2.23,0.682,26,43.97,14.56,1.69,5.4,0.591,71.46,13.56
MA5_5,Grapefruit,9023,300.8,True,56,84.47,28.08,1.51,7.1,0.663,19,113.67,37.79,5.98,29.47,0.167,41,44.4,14.76,1.08,2.7,0.923,28.06,16.26
MA6_1,Grapefruit,9026,300.9,True,64,84.63,28.13,1.32,7.07,0.756,26,45.9,15.26,1.77,5.47,0.566,24,24.17,8.03,1.01,3.5,0.993,25.19,8.49
MA6_2,Grapefruit,9015,300.5,True,62,63.07,20.99,1.02,3.13,0.983,41,64.87,21.59,1.58,4.83,0.632,15,13.1,4.36,0.87,1.53,1.145,21.7,5.41
MA6_3,Grapefruit,9010,300.3,True,37,59.93,19.96,1.62,6.6,0.617,35,49.03,16.33,1.4,7.37,0.714,15,17.07,5.68,1.14,3.3,0.879,21.23,6.6
MA6_4,Grapefruit,9022,300.7,True,63,86.97,28.92,1.38,5.23,0.724,32,44.97,14.95,1.41,4.47,0.712,28,33.57,11.16,1.2,2.9,0.834,30.86,12.92
MA6_5,Grapefruit,8959,298.6,True,76,102.27,34.24,1.35,6.97,0.743,47,73.03,24.46,1.55,5.17,0.644,10,8.67,2.9,0.87,1.53,1.154,31.69,3.16
