cohort,from_arm,to_arm,count
Control,B,B,18
Control,B,T,4
Control,B,L,0
Control,B,R,0
Control,T,B,4
Control,T,T,9
Control,T,L,0
Control,T,R,1
Control,L,B,0
Control,L,T,0
Control,L,L,0
Control,L,R,0
Control,R,B,0
Control,R,T,1
Control,R,L,0
Control,R,R,0
Aspartame,B,B,14
Aspartame,B,T,3
Aspartame,B,L,0
Aspartame,B,R,1
Aspartame,T,B,2
Aspartame,T,T,5
Aspartame,T,L,0
Aspartame,T,R,0
Aspartame,L,B,1
Aspartame,L,T,0
Aspartame,L,L,0
Aspartame,L,R,0
Aspartame,R,B,3
Aspartame,R,T,0
Aspartame,R,L,1
Aspartame,R,R,1
Grapefruit,B,B,5
Grapefruit,B,T,3
Grapefruit,B,L,1
Grapefruit,B,R,0
Grapefruit,T,B,4
Grapefruit,T,T,4
Grapefruit,T,L,0
Grapefruit,T,R,0
Grapefruit,L,B,0
Grapefruit,L,T,1
Grapefruit,L,L,0
Grapefruit,L,R,0
Grapefruit,R,B,2
Grapefruit,R,T,1
Grapefruit,R,L,0
Grapefruit,R,R,0
ASP+Greyfurt,B,B,14
ASP+Greyfurt,B,T,5
ASP+Greyfurt,B,L,0
ASP+Greyfurt,B,R,2
ASP+Greyfurt,T,B,7
ASP+Greyfurt,T,T,13
ASP+Greyfurt,T,L,0
ASP+Greyfurt,T,R,1
ASP+Greyfurt,L,B,1
ASP+Greyfurt,L,T,1
ASP+Greyfurt,L,L,3
ASP+Greyfurt,L,R,1
ASP+Greyfurt,R,B,0
ASP+Greyfurt,R,T,4
ASP+Greyfurt,R,L,3
ASP+Greyfurt,R,R,10
