cohort,from_arm,to_arm,count,probability
Control,B,B,32,0.7805
Control,B,T,9,0.2195
Control,B,L,0,0.0
Control,B,R,0,0.0
Control,T,B,10,0.2439
Control,T,T,29,0.7073
Control,T,L,0,0.0
Control,T,R,2,0.0488
Control,L,B,0,0.0
Control,L,T,0,0.0
Control,L,L,0,0.0
Control,L,R,0,0.0
Control,R,B,1,0.1111
Control,R,T,4,0.4444
Control,R,L,0,0.0
Control,R,R,4,0.4444
Aspartame,B,B,41,0.7193
Aspartame,B,T,15,0.2632
Aspartame,B,L,0,0.0
Aspartame,B,R,1,0.0175
Aspartame,T,B,14,0.2979
Aspartame,T,T,31,0.6596
Aspartame,T,L,0,0.0
Aspartame,T,R,2,0.0426
Aspartame,L,B,1,1.0
Aspartame,L,T,0,0.0
Aspartame,L,L,0,0.0
Aspartame,L,R,0,0.0
Aspartame,R,B,8,0.4
Aspartame,R,T,4,0.2
Aspartame,R,L,1,0.05
Aspartame,R,R,7,0.35
Grapefruit,B,B,39,0.75
Grapefruit,B,T,9,0.1731
Grapefruit,B,L,1,0.0192
Grapefruit,B,R,3,0.0577
Grapefruit,T,B,8,0.25
Grapefruit,T,T,22,0.6875
Grapefruit,T,L,1,0.0312
Grapefruit,T,R,1,0.0312
Grapefruit,L,B,3,0.3333
Grapefruit,L,T,1,0.1111
Grapefruit,L,L,4,0.4444
Grapefruit,L,R,1,0.1111
Grapefruit,R,B,5,0.3125
Grapefruit,R,T,5,0.3125
Grapefruit,R,L,1,0.0625
Grapefruit,R,R,5,0.3125
ASP+Greyfurt,B,B,62,0.7949
ASP+Greyfurt,B,T,8,0.1026
ASP+Greyfurt,B,L,0,0.0
ASP+Greyfurt,B,R,8,0.1026
ASP+Greyfurt,T,B,12,0.16
ASP+Greyfurt,T,T,44,0.5867
ASP+Greyfurt,T,L,0,0.0
ASP+Greyfurt,T,R,19,0.2533
ASP+Greyfurt,L,B,2,0.2
ASP+Greyfurt,L,T,3,0.3
ASP+Greyfurt,L,L,3,0.3
ASP+Greyfurt,L,R,2,0.2
ASP+Greyfurt,R,B,6,0.1132
ASP+Greyfurt,R,T,26,0.4906
ASP+Greyfurt,R,L,5,0.0943
ASP+Greyfurt,R,R,16,0.3019
