target,model,f1_macro,accuracy,n_classes
group,LogisticReg,0.3103,0.3793,4
group,RandomForest,0.317,0.3793,4
group,XGBoost,0.2969,0.3793,4
group,SVM,0.275,0.3103,4
group,LogReg_L1_MI8,0.0556,0.0345,4
group,LightGBM,0.2271,0.2414,4
anxiety_level,LogisticReg,0.6458,0.931,3
anxiety_level,RandomForest,0.6211,0.8966,3
anxiety_level,XGBoost,0.6211,0.8966,3
anxiety_level,SVM,0.6211,0.8966,3
anxiety_level,LogReg_L1_MI8,0.2273,0.5172,3
anxiety_level,LightGBM,0.6089,0.8621,3
rearing_profile,LogisticReg,0.4082,0.8276,3
rearing_profile,RandomForest,0.4082,0.8276,3
rearing_profile,XGBoost,0.4602,0.8276,3
rearing_profile,SVM,0.2949,0.7931,3
rearing_profile,LogReg_L1_MI8,0.2949,0.7931,3
rearing_profile,LightGBM,0.3129,0.7931,3
grooming_profile,LogisticReg,0.5741,0.7931,3
grooming_profile,RandomForest,0.7714,0.8966,3
grooming_profile,XGBoost,0.9225,0.931,3
grooming_profile,SVM,0.602,0.8276,3
grooming_profile,LogReg_L1_MI8,0.237,0.5517,3
grooming_profile,LightGBM,1.0,1.0,3
