target,model,f1_macro,accuracy,n_classes,leakage_removed
group,LogisticReg,0.0,0.0,4,False
group,RandomForest,0.0,0.0,4,False
group,XGBoost,0.0,0.0,4,False
group,SVM,0.0,0.0,4,False
group,LogReg_L1_MI8,0.0,0.0,4,False
group,LightGBM,0.0625,0.0833,4,False
anxiety_level,LogisticReg,0.1692,0.25,3,True
anxiety_level,RandomForest,0.1692,0.25,3,True
anxiety_level,XGBoost,0.2169,0.3333,3,True
anxiety_level,SVM,0.1692,0.25,3,True
anxiety_level,LogReg_L1_MI8,0.1162,0.1667,3,True
anxiety_level,LightGBM,0.2169,0.3333,3,True
rearing_profile,LogisticReg,0.2407,0.3333,3,True
rearing_profile,RandomForest,0.3152,0.4167,3,True
rearing_profile,XGBoost,0.2444,0.25,3,True
rearing_profile,SVM,0.1879,0.25,3,True
rearing_profile,LogReg_L1_MI8,0.1026,0.1667,3,True
rearing_profile,LightGBM,0.3481,0.3333,3,True
grooming_profile,LogisticReg,0.2222,0.5,3,True
grooming_profile,RandomForest,0.1905,0.3333,3,True
grooming_profile,XGBoost,0.2051,0.3333,3,True
grooming_profile,SVM,0.2083,0.4167,3,True
grooming_profile,LogReg_L1_MI8,0.0741,0.0833,3,True
grooming_profile,LightGBM,0.3175,0.4167,3,True
