model,cv,class,f1,precision,recall,support
RandomForest,GroupKFold-subject,grooming,0.8671,0.835,0.9017,1852
RandomForest,GroupKFold-subject,other,0.966,0.9683,0.9638,22889
RandomForest,GroupKFold-subject,rearing,0.8909,0.8943,0.8875,5358
XGBoost,GroupKFold-subject,grooming,0.9748,0.9767,0.973,1852
XGBoost,GroupKFold-subject,other,0.9859,0.9852,0.9866,22889
XGBoost,GroupKFold-subject,rearing,0.9428,0.9451,0.9406,5358
LightGBM,GroupKFold-subject,grooming,0.9766,0.9862,0.9671,1852
LightGBM,GroupKFold-subject,other,0.9871,0.9845,0.9897,22889
LightGBM,GroupKFold-subject,rearing,0.947,0.9545,0.9395,5358
RandomForest,LOGOCV-cohort,grooming,0.8715,0.8391,0.9066,1852
RandomForest,LOGOCV-cohort,other,0.9658,0.9676,0.964,22889
RandomForest,LOGOCV-cohort,rearing,0.8908,0.8961,0.8856,5358
XGBoost,LOGOCV-cohort,grooming,0.976,0.9767,0.9752,1852
XGBoost,LOGOCV-cohort,other,0.9871,0.987,0.9872,22889
XGBoost,LOGOCV-cohort,rearing,0.9479,0.9481,0.9477,5358
LightGBM,LOGOCV-cohort,grooming,0.9777,0.9857,0.9698,1852
LightGBM,LOGOCV-cohort,other,0.9878,0.9865,0.989,22889
LightGBM,LOGOCV-cohort,rearing,0.9501,0.9525,0.9477,5358
