rank,feature,global_mean_abs_shap,shap_grooming,shap_other,shap_rearing
1,rule_nose_inside_frac,1.21844,0.06933,1.31066,2.27532
2,rule_groom_loose_frac,0.43332,0.93465,0.35298,0.01234
3,rule_htdist_mean,0.42583,0.00026,0.75092,0.52632
4,rule_nose2fp_mean,0.36963,0.74101,0.36487,0.003
5,rule_rear_top_wall_frac,0.32782,1e-05,0.55765,0.42581
6,rule_groom_upright_frac,0.17228,0.39336,0.11387,0.00963
7,rule_body_vel_p10,0.1594,0.43144,0.03404,0.01273
8,rule_htdist_p90,0.13148,0.00192,0.16602,0.22649
9,rule_htd_y_mean,0.11896,0.0018,0.15735,0.19772
10,nose_x_mean,0.11264,0.0012,0.13087,0.20583
11,rule_htd_y_p10,0.09437,0.00102,0.07755,0.20454
12,rule_htd_y_p90,0.08354,0.00132,0.12524,0.12406
13,nose_lik_mean,0.07394,0.0219,0.03512,0.16481
14,bbox_area_mean,0.06446,0.05171,0.0859,0.05578
15,rule_htdist_p10,0.05652,0.001,0.08704,0.08153
